,symbol,regime,direction,entry_price,exit_price,outcome,return_pct (%),PnL ($),entry_time,exit_time,notes
572,UVXY,normal,Long,48.28,47.82943535483093,SL hit,-0.9332324879226879,-10.132324879226879,2026-03-23T12:22:00.000,2026-03-23T12:41:00.000,Entry: Long @ 48.2800 (next-bar open) | regime=normal | SL=47.8294 | TP=50.0008
571,UVXY,normal,Long,47.416,49.537850757393706,TP hit,4.474967853453917,43.949678534539174,2026-03-19T19:07:00.000,2026-03-19T19:25:00.000,Entry: Long @ 47.4160 (next-bar open) | regime=normal | SL=46.9479 | TP=49.5379
570,UVXY,normal,Long,45.4001,47.54825343541093,TP hit,4.7316050744622276,46.516050744622284,2026-03-09T19:39:00.000,2026-03-09T22:04:00.000,Entry: Long @ 45.4001 (next-bar open) | regime=normal | SL=44.5482 | TP=47.5483
569,UVXY,normal,Long,54.82,54.473123704704065,SL hit,-0.6327550078364379,-7.127550078364379,2026-03-09T14:45:00.000,2026-03-09T14:46:00.000,Entry: Long @ 54.8200 (next-bar open) | regime=normal | SL=54.4731 | TP=56.4218
568,UVXY,spike_momentum_long,Long,57.0603,55.348490999999996,Trail stop,-3.0000000000000044,-30.800000000000047,2026-03-09T12:02:00.000,2026-03-09T12:05:00.000,Entry: Long @ 57.0603 (next-bar open) | regime=spike_momentum_long | SL=55.3485 | TP=none | trail=pct:6.00
567,UVXY,normal,Long,53.63,53.52125195688145,SL hit,-0.20277464687404917,-2.827746468740492,2026-03-09T09:33:00.000,2026-03-09T09:34:00.000,Entry: Long @ 53.6300 (next-bar open) | regime=normal | SL=53.5213 | TP=55.2569
566,UVXY,normal,Long,42.33,43.25165319148936,TP hit,2.1773049645390086,20.973049645390088,2026-03-04T10:15:00.000,2026-03-04T12:20:00.000,Entry: Long @ 42.3300 (next-bar open) | regime=normal | SL=42.0327 | TP=43.2517
565,UVXY,normal,Long,46.865,46.49684247301917,SL hit,-0.7855703125591178,-8.65570312559118,2026-03-03T16:09:00.000,2026-03-03T16:22:00.000,Entry: Long @ 46.8650 (next-bar open) | regime=normal | SL=46.4968 | TP=48.1854
564,UVXY,normal,Long,39.27,38.84578411134876,SL hit,-1.0802543637668447,-11.602543637668449,2026-02-13T15:36:00.000,2026-02-13T15:58:00.000,Entry: Long @ 39.2700 (next-bar open) | regime=normal | SL=38.8458 | TP=40.4654
563,UVXY,normal,Long,39.3,40.18904732415901,TP hit,2.2622069317023303,21.822069317023303,2026-02-13T13:35:00.000,2026-02-13T14:35:00.000,Entry: Long @ 39.3000 (next-bar open) | regime=normal | SL=38.9854 | TP=40.1890
