,date,open,high,low,close,volume,dollar_open,dollar_high,dollar_low,dollar_close,dollar_volume,rates_open,rates_high,rates_low,rates_close,rates_volume,metal_peer_open,metal_peer_high,metal_peer_low,metal_peer_close,metal_peer_volume
0,2026-04-20T08:00:00.000Z,439.67,440.14,439.67,440.14,1108,,,,,,,,,,,71.92,72,71.84,71.89,14301
1,2026-04-20T08:01:00.000Z,441.06,441.33,439,440.02,34554,,,,,,,,,,,72.07,72.41,71.81,71.9,15807
2,2026-04-20T08:02:00.000Z,439.8,439.86,439.8,439.86,223,,,,,,95.55,95.55,95.55,95.55,266,71.86,72.43,71.79,72.43,10664
3,2026-04-20T08:03:00.000Z,439.8,440.01,439.8,440.01,1069,,,,,,95.55,95.55,95.55,95.55,266,72.43,72.5,71.77,71.85,347671
4,2026-04-20T08:05:00.000Z,439.99,439.99,439.99,439.99,152,,,,,,95.55,95.55,95.55,95.55,266,71.86,71.95,71.8504,71.92,1863
5,2026-04-20T08:07:00.000Z,439.3,440.2,439.21,439.7,3121,,,,,,95.55,95.55,95.55,95.55,266,71.85,71.85,71.78,71.79,10910
6,2026-04-20T08:08:00.000Z,439.66,439.88,439.66,439.88,186,,,,,,95.55,95.55,95.55,95.55,266,71.79,72.42,71.79,72.13,12133
7,2026-04-20T08:10:00.000Z,439.88,440,439.88,440,156,,,,,,95.55,95.55,95.55,95.55,266,71.76,71.8,71.76,71.8,10983
8,2026-04-20T08:11:00.000Z,439.99,439.99,439.99,439.99,97,,,,,,95.55,95.55,95.55,95.55,266,71.84,71.84,71.82,71.82,3553
9,2026-04-20T08:12:00.000Z,440.04,440.04,440.04,440.04,82,,,,,,95.55,95.55,95.55,95.55,266,71.8,71.88,71.8,71.88,7049
10,2026-04-20T08:13:00.000Z,440.04,440.05,440.04,440.05,702,,,,,,,,,,,71.87,71.88,71.86,71.86,885
11,2026-04-20T08:14:00.000Z,440,440,440,440,111,,,,,,,,,,,71.86,71.86,71.8,71.8,1576
12,2026-04-20T08:15:00.000Z,439.8,439.8,439.8,439.8,656,,,,,,,,,,,71.78,71.8,71.7321,71.78,3932
13,2026-04-20T08:17:00.000Z,439.66,439.7,439.65,439.65,564,,,,,,,,,,,71.71,71.72,71.71,71.72,521
14,2026-04-20T08:19:00.000Z,439.75,439.77,439.75,439.77,193,,,,,,,,,,,71.78,71.78,71.76,71.76,543
15,2026-04-20T08:20:00.000Z,439.71,439.71,439.71,439.71,140,,,,,,,,,,,71.77,71.77,71.77,71.77,229
16,2026-04-20T08:21:00.000Z,439.9,439.92,439.9,439.92,168,,,,,,,,,,,71.73,71.84,71.71,71.78,2595
17,2026-04-20T08:25:00.000Z,439.92,439.92,439.92,439.92,89,,,,,,,,,,,71.76,71.8,71.76,71.79,1467
18,2026-04-20T08:26:00.000Z,439.82,439.82,439.82,439.82,112,,,,,,,,,,,71.78,71.78,71.78,71.78,213
19,2026-04-20T08:28:00.000Z,440.12,440.13,440.12,440.13,356,,,,,,,,,,,71.81,71.83,71.81,71.83,1632
20,2026-04-20T08:30:00.000Z,440.09,440.09,440.09,440.09,226,,,,,,,,,,,71.85,71.86,71.8,71.8,1087
21,2026-04-20T08:31:00.000Z,440.02,440.02,440.02,440.02,312,,,,,,,,,,,71.85,71.86,71.8,71.8,1087
22,2026-04-20T08:33:00.000Z,440.05,440.05,440.05,440.05,85,,,,,,,,,,,71.8,71.86,71.8,71.83,829
23,2026-04-20T08:37:00.000Z,439.96,439.96,439.96,439.96,119,,,,,,,,,,,71.76,71.76,71.75,71.76,2598
24,2026-04-20T08:39:00.000Z,440.03,440.03,439.87,439.87,3927,,,,,,,,,,,71.75,71.75,71.72,71.73,3231
25,2026-04-20T08:40:00.000Z,439.93,439.93,439.93,439.93,86,,,,,,,,,,,71.73,71.73,71.73,71.73,471
26,2026-04-20T08:41:00.000Z,439.98,439.98,439.98,439.98,315,,,,,,,,,,,71.73,71.73,71.73,71.73,471
27,2026-04-20T08:43:00.000Z,440.04,440.04,440.04,440.04,83,,,,,,,,,,,71.74,71.74,71.74,71.74,1350
