,date,symbol,action,close,strategy,confidence,tp,sl,rsi,regime,verdict_reason
41,2026-04-22T16:52:00.000Z,GLD,HOLD,434.2550048828125,Bollinger + RSI (Spike-Aware),0.018799999999999956,,,50.94,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
40,2026-04-22T16:50:00.000Z,GLD,HOLD,434.2999877929688,Bollinger + RSI (Spike-Aware),0.07519999999999996,,,53.76,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
39,2026-04-22T16:49:00.000Z,GLD,HOLD,434.1500854492188,Bollinger + RSI (Spike-Aware),0.115,,,44.25,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
38,2026-04-22T16:48:00.000Z,GLD,HOLD,434.2799987792969,Bollinger + RSI (Spike-Aware),0.051599999999999965,,,52.58,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
37,2026-04-22T16:46:00.000Z,GLD,HOLD,434.2099914550781,Bollinger + RSI (Spike-Aware),0.033400000000000034,,,48.33,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
36,2026-04-22T16:45:00.000Z,GLD,HOLD,434.1499938964844,Bollinger + RSI (Spike-Aware),0.10700000000000003,,,44.65,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
35,2026-04-22T16:44:00.000Z,GLD,HOLD,434.375,Bollinger + RSI (Spike-Aware),0.17099999999999993,,,58.55,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
34,2026-04-22T16:42:00.000Z,GLD,HOLD,434.3840026855469,Bollinger + RSI (Spike-Aware),0.24359999999999998,,,62.18,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
33,2026-04-22T16:41:00.000Z,GLD,HOLD,434.5,Bollinger + RSI (Spike-Aware),0.4981999999999999,,,74.91,,RSI overbought alone is not a short trigger; intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed
32,2026-04-22T16:40:00.000Z,GLD,HOLD,434.3599853515625,Bollinger + RSI (Spike-Aware),0.3569999999999999,,,67.85,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
31,2026-04-22T16:39:00.000Z,GLD,HOLD,434.2699890136719,Bollinger + RSI (Spike-Aware),0.23379999999999995,,,61.69,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
30,2026-04-22T16:37:00.000Z,GLD,HOLD,434.2999877929688,Bollinger + RSI (Spike-Aware),0.30879999999999996,,,65.44,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
29,2026-04-22T16:36:00.000Z,GLD,HOLD,434.2699890136719,Bollinger + RSI (Spike-Aware),0.27299999999999996,,,63.65,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
28,2026-04-22T16:35:00.000Z,GLD,HOLD,434.25,Bollinger + RSI (Spike-Aware),0.2502,,,62.51,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
27,2026-04-22T16:33:00.000Z,GLD,HOLD,434.1300048828125,Bollinger + RSI (Spike-Aware),0.10519999999999996,,,55.26,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
26,2026-04-22T16:32:00.000Z,GLD,HOLD,434.0150146484375,Bollinger + RSI (Spike-Aware),0.05540000000000006,,,47.23,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
25,2026-04-22T16:31:00.000Z,GLD,HOLD,433.9400024414063,Bollinger + RSI (Spike-Aware),0.1778,,,41.11,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
24,2026-04-22T16:29:00.000Z,GLD,HOLD,433.989990234375,Bollinger + RSI (Spike-Aware),0.16840000000000002,,,41.58,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
23,2026-04-22T16:28:00.000Z,GLD,HOLD,434.1000061035156,Bollinger + RSI (Spike-Aware),0.01239999999999995,,,49.38,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
22,2026-04-22T16:27:00.000Z,GLD,HOLD,433.9599914550781,Bollinger + RSI (Spike-Aware),0.285,,,35.75,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
21,2026-04-22T16:25:00.000Z,GLD,HOLD,433.943115234375,Bollinger + RSI (Spike-Aware),0.32799999999999996,,,33.6,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
20,2026-04-22T16:24:00.000Z,GLD,HOLD,433.9299926757813,Bollinger + RSI (Spike-Aware),0.353,,,32.35,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
19,2026-04-22T16:23:00.000Z,GLD,HOLD,434,Bollinger + RSI (Spike-Aware),0.2895999999999999,,,35.52,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
18,2026-04-22T16:22:00.000Z,GLD,HOLD,434.0950012207031,Bollinger + RSI (Spike-Aware),0.1944,,,40.28,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
17,2026-04-22T16:20:00.000Z,GLD,HOLD,434,Bollinger + RSI (Spike-Aware),0.3390000000000001,,,33.05,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
