,date,symbol,action,close,strategy,confidence,tp,sl,rsi,regime,verdict_reason
143,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
128,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
142,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
141,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
140,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
139,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
138,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
137,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
136,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
135,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
134,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
