,date,series,price
0,2023-01-03T00:00:00.000,GLD actual,171.06
1,2023-01-04T00:00:00.000,GLD actual,172.67
2,2023-01-05T00:00:00.000,GLD actual,170.52
3,2023-01-06T00:00:00.000,GLD actual,173.71
4,2023-01-09T00:00:00.000,GLD actual,174.1
5,2023-01-10T00:00:00.000,GLD actual,174.74
6,2023-01-11T00:00:00.000,GLD actual,174.62
7,2023-01-12T00:00:00.000,GLD actual,176.64
8,2023-01-13T00:00:00.000,GLD actual,178.76
9,2023-01-17T00:00:00.000,GLD actual,177.59
10,2023-01-18T00:00:00.000,GLD actual,177.08
11,2023-01-19T00:00:00.000,GLD actual,179.89
12,2023-01-20T00:00:00.000,GLD actual,179.29
13,2023-01-23T00:00:00.000,GLD actual,179.63
14,2023-01-24T00:00:00.000,GLD actual,180.28
15,2023-01-25T00:00:00.000,GLD actual,181.11
16,2023-01-26T00:00:00.000,GLD actual,179.47
17,2023-01-27T00:00:00.000,GLD actual,179.22
18,2023-01-30T00:00:00.000,GLD actual,178.76
19,2023-01-31T00:00:00.000,GLD actual,179.41
20,2023-02-01T00:00:00.000,GLD actual,181.67
21,2023-02-02T00:00:00.000,GLD actual,177.9
22,2023-02-03T00:00:00.000,GLD actual,173.46
23,2023-02-06T00:00:00.000,GLD actual,173.82
24,2023-02-07T00:00:00.000,GLD actual,173.98
25,2023-02-08T00:00:00.000,GLD actual,174.41
26,2023-02-09T00:00:00.000,GLD actual,173.03
27,2023-02-10T00:00:00.000,GLD actual,173.36
28,2023-02-13T00:00:00.000,GLD actual,172.48
29,2023-02-14T00:00:00.000,GLD actual,172.61
30,2023-02-15T00:00:00.000,GLD actual,170.89
31,2023-02-16T00:00:00.000,GLD actual,170.75
32,2023-02-17T00:00:00.000,GLD actual,171.26
33,2023-02-21T00:00:00.000,GLD actual,170.62
34,2023-02-22T00:00:00.000,GLD actual,169.66
35,2023-02-23T00:00:00.000,GLD actual,169.57
36,2023-02-24T00:00:00.000,GLD actual,168.35
37,2023-02-27T00:00:00.000,GLD actual,169.01
38,2023-02-28T00:00:00.000,GLD actual,169.78
39,2023-03-01T00:00:00.000,GLD actual,170.76
40,2023-03-02T00:00:00.000,GLD actual,170.66
41,2023-03-03T00:00:00.000,GLD actual,172.49
42,2023-03-06T00:00:00.000,GLD actual,171.62
43,2023-03-07T00:00:00.000,GLD actual,168.62
44,2023-03-08T00:00:00.000,GLD actual,168.54
45,2023-03-09T00:00:00.000,GLD actual,170.2
46,2023-03-10T00:00:00.000,GLD actual,173.87
47,2023-03-13T00:00:00.000,GLD actual,177.86
48,2023-03-14T00:00:00.000,GLD actual,176.83
49,2023-03-15T00:00:00.000,GLD actual,178.21
50,2023-03-16T00:00:00.000,GLD actual,178.57
51,2023-03-17T00:00:00.000,GLD actual,183.77
52,2023-03-20T00:00:00.000,GLD actual,183.84
53,2023-03-21T00:00:00.000,GLD actual,180.37
54,2023-03-22T00:00:00.000,GLD actual,183.44
55,2023-03-23T00:00:00.000,GLD actual,185.74
56,2023-03-24T00:00:00.000,GLD actual,183.65
57,2023-03-27T00:00:00.000,GLD actual,181.95
58,2023-03-28T00:00:00.000,GLD actual,183.44
59,2023-03-29T00:00:00.000,GLD actual,182.53
60,2023-03-30T00:00:00.000,GLD actual,184.18
61,2023-03-31T00:00:00.000,GLD actual,183.22
62,2023-04-03T00:00:00.000,GLD actual,184.54
63,2023-04-04T00:00:00.000,GLD actual,187.98
64,2023-04-05T00:00:00.000,GLD actual,187.83
65,2023-04-06T00:00:00.000,GLD actual,186.49
66,2023-04-10T00:00:00.000,GLD actual,185.11
67,2023-04-11T00:00:00.000,GLD actual,186.28
68,2023-04-12T00:00:00.000,GLD actual,187.19
69,2023-04-13T00:00:00.000,GLD actual,189.72
70,2023-04-14T00:00:00.000,GLD actual,186.36
71,2023-04-17T00:00:00.000,GLD actual,185.53
72,2023-04-18T00:00:00.000,GLD actual,186.25
73,2023-04-19T00:00:00.000,GLD actual,185.36
74,2023-04-20T00:00:00.000,GLD actual,186.09
75,2023-04-21T00:00:00.000,GLD actual,184.25
76,2023-04-24T00:00:00.000,GLD actual,184.81
77,2023-04-25T00:00:00.000,GLD actual,185.75
78,2023-04-26T00:00:00.000,GLD actual,184.74
79,2023-04-27T00:00:00.000,GLD actual,184.75
80,2023-04-28T00:00:00.000,GLD actual,184.8
81,2023-05-01T00:00:00.000,GLD actual,183.97
82,2023-05-02T00:00:00.000,GLD actual,187.52
83,2023-05-03T00:00:00.000,GLD actual,189.11
84,2023-05-04T00:00:00.000,GLD actual,190.44
85,2023-05-05T00:00:00.000,GLD actual,187.46
86,2023-05-08T00:00:00.000,GLD actual,187.69
87,2023-05-09T00:00:00.000,GLD actual,189.02
88,2023-05-10T00:00:00.000,GLD actual,188.75
89,2023-05-11T00:00:00.000,GLD actual,187.13
90,2023-05-12T00:00:00.000,GLD actual,186.81
91,2023-05-15T00:00:00.000,GLD actual,187.21
92,2023-05-16T00:00:00.000,GLD actual,184.87
93,2023-05-17T00:00:00.000,GLD actual,184.23
94,2023-05-18T00:00:00.000,GLD actual,181.84
95,2023-05-19T00:00:00.000,GLD actual,183.64
96,2023-05-22T00:00:00.000,GLD actual,183.21
97,2023-05-23T00:00:00.000,GLD actual,183.43
98,2023-05-24T00:00:00.000,GLD actual,181.95
99,2023-05-25T00:00:00.000,GLD actual,180.2
100,2023-05-26T00:00:00.000,GLD actual,180.92
101,2023-05-30T00:00:00.000,GLD actual,182.04
102,2023-05-31T00:00:00.000,GLD actual,182.32
103,2023-06-01T00:00:00.000,GLD actual,183.76
104,2023-06-02T00:00:00.000,GLD actual,181.05
105,2023-06-05T00:00:00.000,GLD actual,182.14
106,2023-06-06T00:00:00.000,GLD actual,182.34
107,2023-06-07T00:00:00.000,GLD actual,180.15
108,2023-06-08T00:00:00.000,GLD actual,182.53
109,2023-06-09T00:00:00.000,GLD actual,182.04
110,2023-06-12T00:00:00.000,GLD actual,181.88
111,2023-06-13T00:00:00.000,GLD actual,180.54
112,2023-06-14T00:00:00.000,GLD actual,180.64
113,2023-06-15T00:00:00.000,GLD actual,181.91
114,2023-06-16T00:00:00.000,GLD actual,181.63
115,2023-06-20T00:00:00.000,GLD actual,179.75
116,2023-06-21T00:00:00.000,GLD actual,179.49
117,2023-06-22T00:00:00.000,GLD actual,177.71
118,2023-06-23T00:00:00.000,GLD actual,178.2
119,2023-06-26T00:00:00.000,GLD actual,178.51
120,2023-06-27T00:00:00.000,GLD actual,177.69
121,2023-06-28T00:00:00.000,GLD actual,177.28
122,2023-06-29T00:00:00.000,GLD actual,177.09
123,2023-06-30T00:00:00.000,GLD actual,178.27
124,2023-07-03T00:00:00.000,GLD actual,178.47
125,2023-07-05T00:00:00.000,GLD actual,177.84
126,2023-07-06T00:00:00.000,GLD actual,177.31
127,2023-07-07T00:00:00.000,GLD actual,178.64
128,2023-07-10T00:00:00.000,GLD actual,178.78
129,2023-07-11T00:00:00.000,GLD actual,179.45
130,2023-07-12T00:00:00.000,GLD actual,181.88
131,2023-07-13T00:00:00.000,GLD actual,182.01
132,2023-07-14T00:00:00.000,GLD actual,181.43
