	symbol	direction	entry_price	exit_price	outcome	return_pct (%)	PnL ($)	entry_time	exit_time
900	UVXY	Short	51.44	51.69644438	SL hit	-0.498531058	-5.785310581	2026-04-01T18:25:00.000	2026-04-01T18:32:00.000
899	UVXY	Long	50.78	50.55352231	SL hit	-0.445997814	-5.259978142	2026-04-01T14:50:00.000	2026-04-01T14:54:00.000
898	UVXY	Long	52.8	53.51011855	TP hit	1.344921506	12.64921506	2026-03-31T17:04:00.000	2026-03-31T17:07:00.000
897	UVXY	Long	56.03	55.81883703	SL hit	-0.376874837	-4.568748374	2026-03-31T16:08:00.000	2026-03-31T16:16:00.000
896	UVXY	Short	57.14	56.50636089	TP hit	1.108923885	10.28923885	2026-03-31T15:31:00.000	2026-03-31T16:01:00.000
895	UVXY	Short	56.84	57.16059046	SL hit	-0.564022623	-6.440226227	2026-03-31T14:46:00.000	2026-03-31T14:48:00.000
894	UVXY	Long	55.6506	56.53603455	TP hit	1.591060198	15.11060198	2026-03-31T13:55:00.000	2026-03-31T14:43:00.000
893	UVXY	Long	56.26	57.28679234	TP hit	1.825084145	17.45084145	2026-03-31T11:16:00.000	2026-03-31T12:15:00.000
892	UVXY	Long	61.28	60.95606479	SL hit	-0.528614892	-6.086148919	2026-03-30T19:41:00.000	2026-03-30T19:50:00.000
891	UVXY	Long	58.9002	58.75244766	SL hit	-0.250852011	-3.308520115	2026-03-30T14:59:00.000	2026-03-30T15:00:00.000
890	UVXY	Long	60	59.51068229	SL hit	-0.815529514	-8.955295144	2026-03-30T08:02:00.000	2026-03-30T08:32:00.000
889	UVXY	Long	56.97	56.92909733	SL hit	-0.071796855	-1.51796855	2026-03-27T15:24:00.000	2026-03-27T15:30:00.000
888	UVXY	Long	49.71	49.63197342	SL hit	-0.156963551	-2.369635507	2026-03-25T14:15:00.000	2026-03-25T14:16:00.000
887	UVXY	Short	50.025	50.17162869	SL hit	-0.293110826	-3.731108259	2026-03-25T13:50:00.000	2026-03-25T13:51:00.000
886	UVXY	Long	49.92	49.78675268	SL hit	-0.266921707	-3.469217069	2026-03-25T12:56:00.000	2026-03-25T13:00:00.000
885	UVXY	Long	50.07	50.69031556	TP hit	1.238896662	11.58896662	2026-03-24T16:18:00.000	2026-03-24T16:35:00.000
884	UVXY	Long	49.32	49.27639862	SL hit	-0.088405068	-1.684050679	2026-03-24T14:52:00.000	2026-03-24T14:53:00.000
883	UVXY	Long	51.4	51.33963552	SL hit	-0.117440614	-1.974406144	2026-03-24T13:58:00.000	2026-03-24T13:59:00.000
882	UVXY	Long	49.38	50.06897668	TP hit	1.395254512	13.15254512	2026-03-24T09:59:00.000	2026-03-24T10:02:00.000
881	UVXY	Long	48.7	48.53475928	SL hit	-0.339303317	-4.193033175	2026-03-23T18:34:00.000	2026-03-23T18:35:00.000
880	UVXY	Long	50.15	50.08444428	SL hit	-0.130719284	-2.107192842	2026-03-23T17:34:00.000	2026-03-23T17:35:00.000
879	UVXY	Long	50.06	51.10492868	TP hit	2.087352529	20.07352529	2026-03-23T16:46:00.000	2026-03-23T17:05:00.000
878	UVXY	Long	48.13	48.00297662	SL hit	-0.263917261	-3.439172607	2026-03-23T15:03:00.000	2026-03-23T15:04:00.000
877	UVXY	Long	46.89	46.72934217	SL hit	-0.342627058	-4.226270585	2026-03-23T14:23:00.000	2026-03-23T14:24:00.000
876	UVXY	Long	47.25	46.87285083	SL hit	-0.798199305	-8.781993047	2026-03-23T13:43:00.000	2026-03-23T14:22:00.000
875	UVXY	Long	48.02	47.87201814	SL hit	-0.308167147	-3.881671473	2026-03-23T12:42:00.000	2026-03-23T12:43:00.000
874	UVXY	Long	56.64	56.41004342	SL hit	-0.405996793	-4.859967934	2026-03-23T11:01:00.000	2026-03-23T11:05:00.000
873	UVXY	Long	56.19	57.10283754	TP hit	1.62455516	15.4455516	2026-03-23T08:49:00.000	2026-03-23T09:25:00.000
872	UVXY	Long	56.92	56.75995323	SL hit	-0.281178438	-3.611784383	2026-03-23T08:33:00.000	2026-03-23T08:41:00.000
871	UVXY	Long	50.45	50.30792419	SL hit	-0.281617074	-3.616170745	2026-03-20T16:02:00.000	2026-03-20T16:03:00.000
870	UVXY	Long	50.6938	51.46979469	TP hit	1.530748716	14.50748716	2026-03-20T15:24:00.000	2026-03-20T15:26:00.000
869	UVXY	Short	49.13	49.31484359	SL hit	-0.376233635	-4.562336353	2026-03-20T09:20:00.000	2026-03-20T09:24:00.000
868	UVXY	Long	47.416	49.53785076	TP hit	4.474967853	43.94967853	2026-03-19T19:07:00.000	2026-03-19T19:25:00.000
867	UVXY	Long	49.6	49.57884	SL hit	-0.042661285	-1.226612849	2026-03-19T18:58:00.000	2026-03-19T18:59:00.000
866	UVXY	Long	50.835	50.72324046	SL hit	-0.219847625	-2.998476254	2026-03-19T17:24:00.000	2026-03-19T17:27:00.000
865	UVXY	Long	51.3	51.19009969	SL hit	-0.214230617	-2.942306175	2026-03-19T16:01:00.000	2026-03-19T16:02:00.000
864	UVXY	Long	50.6679	51.52302071	TP hit	1.687697161	16.07697161	2026-03-19T15:06:00.000	2026-03-19T15:19:00.000
863	UVXY	Long	51.82	51.51974125	SL hit	-0.579426383	-6.594263831	2026-03-19T14:35:00.000	2026-03-19T14:51:00.000
862	UVXY	Long	52.9585	52.65297943	SL hit	-0.576905627	-6.569056271	2026-03-19T13:51:00.000	2026-03-19T14:00:00.000
861	UVXY	Long	54.47	54.45313344	SL hit	-0.030964856	-1.109648563	2026-03-19T13:18:00.000	2026-03-19T13:19:00.000
860	UVXY	Long	51.75	51.56070516	SL hit	-0.365787127	-4.457871267	2026-03-19T09:50:00.000	2026-03-19T09:51:00.000
859	UVXY	Long	48.812	48.79061614	SL hit	-0.043808609	-1.238086087	2026-03-18T18:01:00.000	2026-03-18T18:04:00.000
858	UVXY	Short	45.9177	45.26657671	TP hit	1.418022433	13.38022433	2026-03-17T15:37:00.000	2026-03-17T16:18:00.000
857	UVXY	Short	48.1	48.27381521	SL hit	-0.361362174	-4.413621738	2026-03-16T16:25:00.000	2026-03-16T16:30:00.000
856	UVXY	Short	47.28	47.44430294	SL hit	-0.347510456	-4.27510456	2026-03-16T16:00:00.000	2026-03-16T16:04:00.000
855	UVXY	Short	47.505	47.77218976	SL hit	-0.56244556	-6.424455601	2026-03-16T14:39:00.000	2026-03-16T14:50:00.000
854	UVXY	Long	46.7001	46.45324052	SL hit	-0.528605893	-6.086058927	2026-03-16T14:07:00.000	2026-03-16T14:10:00.000
853	UVXY	Long	47.31	47.08126055	SL hit	-0.483490696	-5.634906958	2026-03-16T14:02:00.000	2026-03-16T14:03:00.000
852	UVXY	Long	50.82	50.71784536	SL hit	-0.201012674	-2.810126739	2026-03-13T16:08:00.000	2026-03-13T16:12:00.000
851	UVXY	Long	49.19	48.9917363	SL hit	-0.403056927	-4.830569275	2026-03-13T10:50:00.000	2026-03-13T11:01:00.000
850	UVXY	Long	49.55	49.3545137	SL hit	-0.394523312	-4.74523312	2026-03-13T10:14:00.000	2026-03-13T10:48:00.000
849	UVXY	Long	50.79	50.75709304	SL hit	-0.064790238	-1.447902378	2026-03-13T08:58:00.000	2026-03-13T09:00:00.000
848	UVXY	Long	49.14	50.00370964	TP hit	1.757650884	16.77650884	2026-03-12T14:47:00.000	2026-03-12T14:49:00.000
847	UVXY	Long	48.78	49.66498215	TP hit	1.814231557	17.34231557	2026-03-12T14:04:00.000	2026-03-12T14:21:00.000
846	UVXY	Long	47.75	47.6203521	SL hit	-0.271513924	-3.515139239	2026-03-12T11:32:00.000	2026-03-12T11:38:00.000
845	UVXY	Long	46.75	47.35872479	TP hit	1.302085116	12.22085116	2026-03-11T15:01:00.000	2026-03-11T15:02:00.000
844	UVXY	Long	47.43	47.29833111	SL hit	-0.277606768	-3.576067675	2026-03-11T14:01:00.000	2026-03-11T14:05:00.000
843	UVXY	Long	47.7201	48.32105439	TP hit	1.259331797	11.79331797	2026-03-11T13:38:00.000	2026-03-11T13:44:00.000
842	UVXY	Long	48	47.87608579	SL hit	-0.258154614	-3.381546144	2026-03-11T13:33:00.000	2026-03-11T13:35:00.000
841	UVXY	Long	48.52	49.36903492	TP hit	1.749865869	16.69865869	2026-03-11T12:31:00.000	2026-03-11T12:42:00.000
840	UVXY	Long	46.8	46.54222223	SL hit	-0.550807203	-6.308072028	2026-03-10T12:46:00.000	2026-03-10T13:20:00.000
839	UVXY	Long	47.2347	47.15178634	SL hit	-0.175535488	-2.555354884	2026-03-10T12:37:00.000	2026-03-10T12:44:00.000
838	UVXY	Long	45.55	46.36139066	TP hit	1.781318681	17.01318681	2026-03-10T11:05:00.000	2026-03-10T11:13:00.000
837	UVXY	Short	46.82	46.9576476	SL hit	-0.293993176	-3.739931758	2026-03-09T20:05:00.000	2026-03-09T20:06:00.000
836	UVXY	Long	51.47	51.2305261	SL hit	-0.465268885	-5.452688853	2026-03-09T15:51:00.000	2026-03-09T15:53:00.000
835	UVXY	Long	52.32	52.00947001	SL hit	-0.593520629	-6.735206289	2026-03-09T15:23:00.000	2026-03-09T15:26:00.000
834	UVXY	Long	53.32	53.20543287	SL hit	-0.214867091	-2.948670914	2026-03-09T15:04:00.000	2026-03-09T15:06:00.000
833	UVXY	Long	54.82	54.25660933	SL hit	-1.027710093	-11.07710093	2026-03-09T14:45:00.000	2026-03-09T14:47:00.000
832	UVXY	Long	55.73	55.65722382	SL hit	-0.130587083	-2.10587083	2026-03-09T11:36:00.000	2026-03-09T11:37:00.000
831	UVXY	Long	53.63	53.32840664	SL hit	-0.562359427	-6.423594268	2026-03-09T09:33:00.000	2026-03-09T09:34:00.000
