symbol,status,bars,first_bar,last_bar,cache_csv,cache_pkl,message
AAPL,ok,436008,2024-01-02T09:00:00,2026-05-01T09:01:00,data_cache\alpaca\AAPL\1Min.csv,data_cache\alpaca\AAPL\1Min.pkl,
ABNB,ok,247181,2024-01-02T11:15:00,2026-04-30T23:17:00,data_cache\alpaca\ABNB\1Min.csv,data_cache\alpaca\ABNB\1Min.pkl,
ADBE,ok,258926,2024-01-02T09:03:00,2026-05-01T08:45:00,data_cache\alpaca\ADBE\1Min.csv,data_cache\alpaca\ADBE\1Min.pkl,
ADI,ok,232466,2024-01-02T11:35:00,2026-04-30T23:36:00,data_cache\alpaca\ADI\1Min.csv,data_cache\alpaca\ADI\1Min.pkl,
ADP,ok,216240,2024-01-02T14:27:00,2026-04-30T21:33:00,data_cache\alpaca\ADP\1Min.csv,data_cache\alpaca\ADP\1Min.pkl,
ADSK,ok,217361,2024-01-02T14:28:00,2026-04-30T23:26:00,data_cache\alpaca\ADSK\1Min.csv,data_cache\alpaca\ADSK\1Min.pkl,
AEP,ok,230794,2024-01-02T12:01:00,2026-04-30T22:22:00,data_cache\alpaca\AEP\1Min.csv,data_cache\alpaca\AEP\1Min.pkl,
ALNY,ok,183327,2024-01-02T12:22:00,2026-04-30T20:23:00,data_cache\alpaca\ALNY\1Min.csv,data_cache\alpaca\ALNY\1Min.pkl,
AMAT,ok,263027,2024-01-02T11:22:00,2026-05-01T08:57:00,data_cache\alpaca\AMAT\1Min.csv,data_cache\alpaca\AMAT\1Min.pkl,
AMD,ok,470775,2024-01-02T09:00:00,2026-05-01T09:01:00,data_cache\alpaca\AMD\1Min.csv,data_cache\alpaca\AMD\1Min.pkl,
AMGN,ok,230225,2024-01-02T11:29:00,2026-05-01T08:01:00,data_cache\alpaca\AMGN\1Min.csv,data_cache\alpaca\AMGN\1Min.pkl,
AMZN,ok,439699,2024-01-02T09:00:00,2026-05-01T09:01:00,data_cache\alpaca\AMZN\1Min.csv,data_cache\alpaca\AMZN\1Min.pkl,
APP,ok,285893,2024-01-02T09:17:00,2026-05-01T08:51:00,data_cache\alpaca\APP\1Min.csv,data_cache\alpaca\APP\1Min.pkl,
ARM,ok,323335,2024-01-02T09:01:00,2026-05-01T09:00:00,data_cache\alpaca\ARM\1Min.csv,data_cache\alpaca\ARM\1Min.pkl,
ASML,ok,250220,2024-01-02T09:00:00,2026-05-01T08:59:00,data_cache\alpaca\ASML\1Min.csv,data_cache\alpaca\ASML\1Min.pkl,
AVGO,ok,372363,2024-01-02T10:12:00,2026-05-01T08:59:00,data_cache\alpaca\AVGO\1Min.csv,data_cache\alpaca\AVGO\1Min.pkl,
AXON,ok,170535,2024-01-02T14:30:00,2026-05-01T08:03:00,data_cache\alpaca\AXON\1Min.csv,data_cache\alpaca\AXON\1Min.pkl,
BKNG,ok,118660,2024-01-02T14:30:00,2026-05-01T08:28:00,data_cache\alpaca\BKNG\1Min.csv,data_cache\alpaca\BKNG\1Min.pkl,
BKR,ok,238943,2024-01-02T11:17:00,2026-05-01T08:00:00,data_cache\alpaca\BKR\1Min.csv,data_cache\alpaca\BKR\1Min.pkl,
CCEP,ok,220473,2024-01-02T13:05:00,2026-05-01T09:01:00,data_cache\alpaca\CCEP\1Min.csv,data_cache\alpaca\CCEP\1Min.pkl,
CDNS,ok,225714,2024-01-02T12:49:00,2026-05-01T08:01:00,data_cache\alpaca\CDNS\1Min.csv,data_cache\alpaca\CDNS\1Min.pkl,
CEG,ok,247217,2024-01-02T13:00:00,2026-05-01T08:52:00,data_cache\alpaca\CEG\1Min.csv,data_cache\alpaca\CEG\1Min.pkl,
CHTR,ok,210454,2024-01-02T14:29:00,2026-04-30T23:46:00,data_cache\alpaca\CHTR\1Min.csv,data_cache\alpaca\CHTR\1Min.pkl,
CMCSA,ok,256778,2024-01-02T11:23:00,2026-05-01T09:00:00,data_cache\alpaca\CMCSA\1Min.csv,data_cache\alpaca\CMCSA\1Min.pkl,
COST,ok,236270,2024-01-02T12:03:00,2026-05-01T08:00:00,data_cache\alpaca\COST\1Min.csv,data_cache\alpaca\COST\1Min.pkl,
CPRT,ok,234993,2024-01-02T12:00:00,2026-04-30T23:50:00,data_cache\alpaca\CPRT\1Min.csv,data_cache\alpaca\CPRT\1Min.pkl,
CRWD,ok,276278,2024-01-02T12:00:00,2026-05-01T08:06:00,data_cache\alpaca\CRWD\1Min.csv,data_cache\alpaca\CRWD\1Min.pkl,
CSCO,ok,270774,2024-01-02T11:03:00,2026-05-01T08:18:00,data_cache\alpaca\CSCO\1Min.csv,data_cache\alpaca\CSCO\1Min.pkl,
CSGP,ok,226200,2024-01-02T14:28:00,2026-05-01T08:00:00,data_cache\alpaca\CSGP\1Min.csv,data_cache\alpaca\CSGP\1Min.pkl,
CSX,ok,241384,2024-01-02T13:37:00,2026-04-30T23:51:00,data_cache\alpaca\CSX\1Min.csv,data_cache\alpaca\CSX\1Min.pkl,
CTAS,ok,182991,2024-01-02T14:30:00,2026-04-30T21:25:00,data_cache\alpaca\CTAS\1Min.csv,data_cache\alpaca\CTAS\1Min.pkl,
CTSH,ok,229831,2024-01-02T12:06:00,2026-05-01T08:01:00,data_cache\alpaca\CTSH\1Min.csv,data_cache\alpaca\CTSH\1Min.pkl,
DASH,ok,242184,2024-01-02T12:00:00,2026-05-01T08:00:00,data_cache\alpaca\DASH\1Min.csv,data_cache\alpaca\DASH\1Min.pkl,
DDOG,ok,249304,2024-01-02T12:06:00,2026-05-01T08:26:00,data_cache\alpaca\DDOG\1Min.csv,data_cache\alpaca\DDOG\1Min.pkl,
DXCM,ok,234928,2024-01-02T11:24:00,2026-05-01T08:41:00,data_cache\alpaca\DXCM\1Min.csv,data_cache\alpaca\DXCM\1Min.pkl,
EA,ok,222537,2024-01-02T14:25:00,2026-04-30T21:18:00,data_cache\alpaca\EA\1Min.csv,data_cache\alpaca\EA\1Min.pkl,
EXC,ok,233753,2024-01-02T11:05:00,2026-04-30T21:36:00,data_cache\alpaca\EXC\1Min.csv,data_cache\alpaca\EXC\1Min.pkl,
FANG,ok,226926,2024-01-02T13:15:00,2026-04-30T23:59:00,data_cache\alpaca\FANG\1Min.csv,data_cache\alpaca\FANG\1Min.pkl,
FAST,ok,231479,2024-01-02T13:36:00,2026-05-01T08:21:00,data_cache\alpaca\FAST\1Min.csv,data_cache\alpaca\FAST\1Min.pkl,
FER,ok,103096,2024-05-09T13:09:00,2026-04-30T22:04:00,data_cache\alpaca\FER\1Min.csv,data_cache\alpaca\FER\1Min.pkl,
FTNT,ok,246443,2024-01-02T11:04:00,2026-05-01T08:00:00,data_cache\alpaca\FTNT\1Min.csv,data_cache\alpaca\FTNT\1Min.pkl,
GEHC,ok,231884,2024-01-02T13:00:00,2026-04-30T23:28:00,data_cache\alpaca\GEHC\1Min.csv,data_cache\alpaca\GEHC\1Min.pkl,
GILD,ok,240893,2024-01-02T09:00:00,2026-04-30T21:42:00,data_cache\alpaca\GILD\1Min.csv,data_cache\alpaca\GILD\1Min.pkl,
GOOG,ok,377142,2024-01-02T09:12:00,2026-05-01T09:01:00,data_cache\alpaca\GOOG\1Min.csv,data_cache\alpaca\GOOG\1Min.pkl,
GOOGL,ok,402207,2024-01-02T09:00:00,2026-05-01T09:01:00,data_cache\alpaca\GOOGL\1Min.csv,data_cache\alpaca\GOOGL\1Min.pkl,
HON,ok,234277,2024-01-02T13:00:00,2026-05-01T08:30:00,data_cache\alpaca\HON\1Min.csv,data_cache\alpaca\HON\1Min.pkl,
IDXX,ok,159532,2024-01-02T13:00:00,2026-04-30T21:19:00,data_cache\alpaca\IDXX\1Min.csv,data_cache\alpaca\IDXX\1Min.pkl,
INSM,ok,219668,2024-01-02T14:29:00,2026-04-30T20:09:00,data_cache\alpaca\INSM\1Min.csv,data_cache\alpaca\INSM\1Min.pkl,
INTC,ok,482548,2024-01-02T09:00:00,2026-05-01T09:01:00,data_cache\alpaca\INTC\1Min.csv,data_cache\alpaca\INTC\1Min.pkl,
INTU,ok,222034,2024-01-02T13:17:00,2026-05-01T09:01:00,data_cache\alpaca\INTU\1Min.csv,data_cache\alpaca\INTU\1Min.pkl,
ISRG,ok,222485,2024-01-02T11:18:00,2026-05-01T08:53:00,data_cache\alpaca\ISRG\1Min.csv,data_cache\alpaca\ISRG\1Min.pkl,
