label,family,side,gap_metric,btc_threshold,gap_threshold,entry_offset_min,exit_mode,min_signals,stretch_threshold,peak_threshold,trough_threshold,pullback_threshold,rebound_threshold,confirm_close_threshold,signals,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,score
confirm_long_apld_gap_pct_entry_5m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,0.5,5,close,8,,,0.5,,0.25,-1.0,46,63.04347826086957,2.0204506540601455,2.71032322151753,130.76745950567653,146.82498728071656
confirm_long_apld_gap_pct_entry_10m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,0.5,10,close,8,,,0.5,,0.5,-1.0,43,62.7906976744186,2.1195332659654955,2.30571505300714,128.81409800751143,145.0349091299278
confirm_long_apld_gap_pct_entry_5m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,0.5,5,close,8,,,0.5,,0.25,-0.5,43,62.7906976744186,2.1100085896607097,2.608695652173898,127.53848138445557,143.74262432333856
confirm_long_apld_gap_pct_entry_10m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,0.5,10,close,8,,,0.5,,0.25,-1.0,44,61.36363636363637,2.0307014773696155,2.0379460353544654,124.72046407593709,140.72873711587937
confirm_long_apld_gap_pct_entry_10m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,0.5,10,close,8,,,0.5,,0.25,-0.5,40,62.5,2.146041105849355,2.0379460353544654,117.54351386365602,133.7990857988924
confirm_long_apld_gap_pct_entry_10m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,0.5,10,close,8,,,0.5,,0.5,-0.5,40,62.5,2.146041105849355,2.0379460353544654,117.54351386365602,133.7990857988924
confirm_long_relative_gap_pct_entry_10m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,1.5,10,close,8,,,0.5,,0.5,-1.0,33,66.66666666666666,2.5946256435233264,2.9382135661517816,118.29388099182157,133.75114253465406
confirm_long_apld_gap_pct_entry_5m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,0.5,5,close,8,,,0.5,,0.25,-1.5,53,62.264150943396224,1.6554331355548946,1.833060663783681,117.9070819066308,133.2946559315877
confirm_long_apld_gap_pct_entry_15m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,0.5,15,close,8,,,0.5,,0.25,-1.0,43,65.11627906976744,2.019458144651194,2.0408163265306145,116.89685612180911,133.0355590377394
confirm_long_relative_gap_pct_entry_10m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,0.5,10,close,8,,,0.5,,0.5,-1.0,43,62.7906976744186,1.976666928395048,1.7701770177017906,115.48890234759868,131.45969737926674
confirm_long_relative_gap_pct_entry_10m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,1.5,10,close,8,,,0.5,,0.25,-1.0,34,64.70588235294117,2.4656935530593103,2.650471175754765,114.38846062627283,129.79165963824428
confirm_long_relative_gap_pct_entry_5m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,0.5,5,close,8,,,0.5,,0.25,-0.5,42,61.904761904761905,2.004078698280041,1.8541760047811051,113.53799989751141,129.52132809569196
confirm_long_apld_gap_pct_entry_15m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,0.5,15,close,8,,,0.5,,0.25,-1.5,47,61.702127659574465,1.8142686649323818,1.843853820597996,113.18378538952688,128.82684065954152
confirm_long_apld_gap_pct_entry_5m_exit_close,confirmation_overlay,long,apld_gap_pct,1.5,1.5,5,close,8,,,0.5,,0.25,-0.5,29,68.96551724137932,2.8529032466031046,3.8448509485094817,113.68227862142919,128.6834799926398
confirm_long_apld_gap_pct_entry_5m_exit_close,confirmation_overlay,long,apld_gap_pct,1.5,0.5,5,close,8,,,0.5,,0.25,-0.5,34,67.64705882352942,2.431068440374549,3.1372587456179213,112.38762235305782,127.84787447665445
confirm_long_apld_gap_pct_entry_10m_exit_close,confirmation_overlay,long,apld_gap_pct,1.5,0.5,10,close,8,,,0.5,,0.5,-1.0,35,65.71428571428571,2.3520134838729536,2.3627287853577483,112.00806017178837,127.50265519713747
confirm_long_relative_gap_pct_entry_10m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,0.5,10,close,8,,,0.5,,0.25,-1.0,44,61.36363636363637,1.8910821020166788,1.6261754363445458,111.6336648853558,127.39760401843044
confirm_long_relative_gap_pct_entry_5m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,1.0,5,close,8,,,0.5,,0.25,-0.5,39,61.53846153846154,2.1158406483783025,2.811950790861162,110.06182002986753,125.97607962606803
confirm_long_relative_gap_pct_entry_5m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,1.5,5,close,8,,,0.5,,0.25,-0.5,34,61.76470588235294,2.422218354116347,3.3932908381198446,110.31885886118866,125.52832921618638
confirm_long_apld_gap_pct_entry_5m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,1.5,5,close,8,,,0.5,,0.25,-1.5,43,62.7906976744186,1.9066936902722835,2.811950790861162,109.0637068180706,124.91204868302384
confirm_long_apld_gap_pct_entry_10m_exit_close,confirmation_overlay,long,apld_gap_pct,1.5,0.5,10,close,8,,,0.5,,0.25,-1.0,36,63.888888888888886,2.23698351398056,2.3342219191824443,108.21509725366437,123.6853739586859
confirm_long_apld_gap_pct_entry_10m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,1.5,10,close,8,,,0.5,,0.5,-1.0,35,65.71428571428571,2.293453907663841,2.3627287853577483,108.27155303755052,123.66366880453367
confirm_long_relative_gap_pct_entry_10m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,0.5,10,close,8,,,0.5,,0.25,-0.5,39,64.1025641025641,2.078081873467854,1.7701770177017906,107.67159468497294,123.62234052764425
confirm_long_relative_gap_pct_entry_10m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,0.5,10,close,8,,,0.5,,0.5,-0.5,39,64.1025641025641,2.078081873467854,1.7701770177017906,107.67159468497294,123.62234052764425
confirm_long_relative_gap_pct_entry_5m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,0.5,5,close,8,,,0.5,,0.5,-0.5,40,62.5,1.9947825225694313,1.8541760047811051,105.07679374963223,121.06766316412873
confirm_long_apld_gap_pct_entry_5m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,0.5,5,close,8,,,0.5,,0.5,-0.5,40,62.5,1.9936962283560082,1.8541760047811051,104.9881469220041,120.97711532162712
confirm_long_apld_gap_pct_entry_5m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,1.5,5,close,8,,,0.5,,0.25,-0.5,37,62.16216216216216,2.1390254232255055,2.811950790861162,105.01225688137721,120.49203785850833
confirm_long_apld_gap_pct_entry_10m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,1.5,10,close,8,,,0.5,,0.25,-1.0,36,63.888888888888886,2.1800505926661446,2.3342219191824443,104.54543867693874,119.91608276966005
confirm_long_relative_gap_pct_entry_15m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,1.5,15,close,8,,,0.5,,0.25,-1.5,36,66.66666666666666,2.2226715576473683,2.7002841108876408,103.76135276838454,119.31769466093411
confirm_long_apld_gap_pct_entry_5m_exit_close,confirmation_overlay,long,apld_gap_pct,1.5,1.5,5,close,8,,,0.5,,0.25,-1.5,34,67.64705882352942,2.3169380283392336,3.3571990267336482,104.02677795495059,119.28730185748542
confirm_long_relative_gap_pct_entry_5m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,1.5,5,close,8,,,0.5,,0.25,-1.0,36,61.111111111111114,2.2161837013965657,3.3932908381198446,103.56653818723429,118.88930410912272
confirm_long_relative_gap_pct_entry_5m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,0.5,5,close,8,,,0.5,,0.25,-1.0,45,60.0,1.7760142708686453,1.0996563573883122,103.21450388621773,118.72252886023786
confirm_long_relative_gap_pct_entry_5m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,1.0,5,close,8,,,0.5,,0.5,-0.5,37,62.16216216216216,2.1118319151829543,2.811950790861162,101.73835364953021,117.17054598758686
confirm_long_apld_gap_pct_entry_5m_exit_close,confirmation_overlay,long,apld_gap_pct,1.5,0.5,5,close,8,,,0.5,,0.25,-1.0,36,66.66666666666666,2.168458291493619,3.1372587456179213,101.68275349906128,117.14422217584178
confirm_long_apld_gap_pct_entry_10m_exit_close,confirmation_overlay,long,apld_gap_pct,1.5,1.5,10,close,8,,,0.5,,0.5,-1.0,29,68.96551724137932,2.6462437913966697,2.9382135661517816,102.06853633795583,116.70808366255518
confirm_long_relative_gap_pct_entry_10m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,1.5,10,close,8,,,0.5,,0.25,-0.5,31,64.51612903225806,2.4927452516617743,2.9382135661517816,101.21301226078936,115.90596161248779
confirm_long_relative_gap_pct_entry_10m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,1.5,10,close,8,,,0.5,,0.5,-0.5,31,64.51612903225806,2.4927452516617743,2.9382135661517816,101.21301226078936,115.90596161248779
confirm_long_relative_gap_pct_entry_10m_exit_close,confirmation_overlay,long,relative_gap_pct,1.5,0.5,10,close,8,,,0.5,,0.5,-1.0,33,66.66666666666666,2.3233479867281486,2.3627287853577483,100.67450310856407,115.657028752005
confirm_long_relative_gap_pct_entry_5m_exit_close,confirmation_overlay,long,relative_gap_pct,1.0,1.0,5,close,8,,,0.5,,0.25,-1.0,42,59.523809523809526,1.8635029082876453,2.71032322151753,99.90637995716742,115.54846242762318
confirm_long_apld_gap_pct_entry_10m_exit_close,confirmation_overlay,long,apld_gap_pct,1.0,0.5,10,close,8,,,0.5,,0.5,-1.5,47,59.57446808510638,1.661860531845281,1.482173854987301,99.79735371450786,115.08858836864135
