label,family,side,gap_metric,btc_threshold,gap_threshold,entry_offset_min,exit_mode,min_signals,stretch_threshold,peak_threshold,trough_threshold,pullback_threshold,rebound_threshold,confirm_close_threshold,signals,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,score
raw_long_relative_gap_pct_entry_5m_exit_30m,raw_gap_context,long,relative_gap_pct,1.0,1.0,5,30m,8,0.0,,,,,,41,53.65853658536586,0.7460930083743832,0.24933569530558586,33.254886727404376,46.70689095547418
raw_long_relative_gap_pct_entry_5m_exit_30m,raw_gap_context,long,relative_gap_pct,1.0,1.5,5,30m,8,0.0,,,,,,30,56.666666666666664,1.0089652619944904,0.36976588686847833,32.95243021698657,44.484786092143594
raw_long_relative_gap_pct_entry_5m_exit_30m,raw_gap_context,long,relative_gap_pct,1.0,0.5,5,30m,8,0.0,,,,,,47,51.06382978723404,0.588124029600321,0.2329945269742062,29.000796777748917,42.07256702103884
raw_long_relative_gap_pct_entry_5m_exit_30m,raw_gap_context,long,relative_gap_pct,1.5,1.5,5,30m,8,0.0,,,,,,24,54.166666666666664,1.1256053741771113,0.36976588686847833,28.92450944654876,39.06098551802537
raw_long_apld_gap_pct_entry_5m_exit_30m,raw_gap_context,long,apld_gap_pct,1.0,1.5,5,30m,8,0.0,,,,,,34,50.0,0.7531018299259307,-0.012368715894339743,26.915430823921227,38.73335902629161
raw_long_apld_gap_pct_entry_5m_exit_30m,raw_gap_context,long,apld_gap_pct,1.5,1.5,5,30m,8,0.0,,,,,,28,50.0,0.9371076301818532,-0.004198131728649912,27.912755160781177,38.55269351359942
raw_long_relative_gap_pct_entry_5m_exit_30m,raw_gap_context,long,relative_gap_pct,2.0,1.5,5,30m,8,0.0,,,,,,21,52.38095238095239,1.2535714632227235,0.24933569530558586,28.16428639976982,37.70327455564768
raw_long_apld_gap_pct_entry_5m_exit_30m,raw_gap_context,long,apld_gap_pct,2.0,1.5,5,30m,8,0.0,,,,,,25,48.0,1.0219794157007362,-0.2577319587628857,27.15849807756512,37.11696205504141
raw_long_relative_gap_pct_entry_5m_exit_30m,raw_gap_context,long,relative_gap_pct,1.0,2.0,5,30m,8,0.0,,,,,,21,61.904761904761905,1.183809401835997,0.4968944099378758,26.533150554275874,36.33100748367934
raw_long_relative_gap_pct_entry_5m_exit_30m,raw_gap_context,long,relative_gap_pct,1.5,2.0,5,30m,8,0.0,,,,,,16,62.5,1.5192669538546621,0.7398198951092061,26.015916312132248,35.17463348137791
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,1.0,1.0,10,30m,8,0.0,,,,,,41,53.65853658536586,0.5207267057658197,0.6582076696620254,22.03448971352251,35.09210291202733
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,2.0,1.0,10,30m,8,1.5,,,,,,16,68.75,1.4705464052018726,1.2315101479188129,25.66510768859731,34.98856389770059
raw_long_apld_gap_pct_entry_10m_exit_30m,raw_gap_context,long,apld_gap_pct,2.0,1.0,10,30m,8,2.0,,,,,,12,75.0,1.9348771607293767,1.3308095515433882,25.33625759331697,34.72229262459338
raw_long_relative_gap_pct_entry_5m_exit_30m,raw_gap_context,long,relative_gap_pct,1.5,1.0,5,30m,8,0.0,,,,,,30,46.666666666666664,0.7629582099207702,-0.38469315391242986,23.660326481824654,34.36217001585267
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,2.0,1.5,10,30m,8,1.5,,,,,,11,72.72727272727273,2.0691533663328543,1.8227848101265876,24.748441679100907,34.028550979274314
raw_long_apld_gap_pct_entry_10m_exit_30m,raw_gap_context,long,apld_gap_pct,2.0,1.5,10,30m,8,1.5,,,,,,14,71.42857142857143,1.6230490919446,1.3858491112269111,24.660493232014513,33.85797200006042
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,1.5,1.0,10,30m,8,1.5,,,,,,18,66.66666666666666,1.2530396041162597,1.2315101479188129,24.260041581451276,33.6195275553214
raw_long_apld_gap_pct_entry_10m_exit_30m,raw_gap_context,long,apld_gap_pct,2.0,1.0,10,30m,8,1.5,,,,,,18,66.66666666666666,1.2282368856857862,1.2315101479188129,23.806633322395566,33.122714539012364
raw_long_apld_gap_pct_entry_5m_exit_30m,raw_gap_context,long,apld_gap_pct,1.0,1.0,5,30m,8,0.0,,,,,,43,48.837209302325576,0.47334198261926647,-0.2577319587628857,20.25960893863894,33.041445780315684
raw_long_relative_gap_pct_entry_5m_exit_30m,raw_gap_context,long,relative_gap_pct,2.0,1.0,5,30m,8,0.0,,,,,,27,44.44444444444444,0.8221932609277642,-0.511654349061974,22.93114449333189,32.89776047773326
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,2.0,1.0,10,30m,8,1.0,,,,,,20,60.0,1.0904466363082028,1.0018297641637308,23.36671385743534,32.67499547097469
raw_long_apld_gap_pct_entry_10m_exit_30m,raw_gap_context,long,apld_gap_pct,2.0,0.5,10,30m,8,2.0,,,,,,13,69.23076923076923,1.6800550708846838,1.17647058823529,23.609362093481568,32.568689236760534
raw_long_apld_gap_pct_entry_10m_exit_30m,raw_gap_context,long,apld_gap_pct,1.5,1.5,10,30m,8,1.5,,,,,,16,68.75,1.3592911048804446,1.3858491112269111,23.266659755386666,32.39541918892745
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,1.5,1.5,10,30m,8,1.5,,,,,,13,69.23076923076923,1.6758967246557008,1.8227848101265876,23.35362484771015,32.30567488508839
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,2.0,1.0,10,30m,8,2.0,,,,,,11,72.72727272727273,1.9463014002215204,1.17647058823529,23.108957377603765,32.17407573708233
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,1.5,1.0,10,30m,8,0.0,,,,,,31,54.83870967741935,0.6524132315745691,0.8271889400921717,21.072279265770668,32.157550808122934
raw_long_apld_gap_pct_entry_5m_exit_30m,raw_gap_context,long,apld_gap_pct,1.0,0.5,5,30m,8,0.0,,,,,,48,50.0,0.408506059063703,-0.04795983051412156,19.14047016736071,31.85535577072219
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,1.5,1.0,10,30m,8,1.0,,,,,,22,59.09090909090909,0.9470410507739441,1.0018297641637308,21.987346174716272,31.508304377207036
raw_long_apld_gap_pct_entry_10m_exit_30m,raw_gap_context,long,apld_gap_pct,2.0,1.5,10,30m,8,2.0,,,,,,9,77.77777777777779,2.289251134047907,1.4851485148514865,22.124777754546777,31.492078350241723
raw_long_apld_gap_pct_entry_10m_exit_30m,raw_gap_context,long,apld_gap_pct,2.0,1.5,10,30m,8,1.0,,,,,,18,61.111111111111114,1.1668265294532496,1.2315101479188129,22.380473631473798,31.366864502461432
raw_long_apld_gap_pct_entry_5m_exit_30m,raw_gap_context,long,apld_gap_pct,1.0,2.0,5,30m,8,0.0,,,,,,27,51.85185185185185,0.7623080520027216,0.2329945269742062,21.173923987084507,31.33203715216334
raw_long_apld_gap_pct_entry_10m_exit_30m,raw_gap_context,long,apld_gap_pct,2.0,0.5,10,30m,8,1.5,,,,,,19,63.1578947368421,1.0910765228996062,1.17647058823529,22.100813138838248,31.286512843386244
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,1.5,1.5,10,30m,8,0.0,,,,,,25,56.00000000000001,0.8165587536074622,1.1000446627958738,21.35070175777698,31.269679576590043
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,2.0,1.5,10,30m,8,2.0,,,,,,8,75.0,2.536872992168796,1.7118255943241345,21.762077094154876,31.20160483045027
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,1.5,2.0,10,30m,8,0.0,,,,,,16,75.0,1.278040512181739,1.611236884067957,21.949157887397774,31.185728783715817
raw_long_relative_gap_pct_entry_10m_exit_30m,raw_gap_context,long,relative_gap_pct,2.0,1.5,10,30m,8,1.0,,,,,,15,60.0,1.4027251515063663,1.4851485148514865,22.46681351615201,31.071582531288147
raw_long_apld_gap_pct_entry_10m_exit_30m,raw_gap_context,long,apld_gap_pct,2.0,1.0,10,30m,8,1.0,,,,,,22,59.09090909090909,0.9267479175126475,1.0018297641637308,21.542230676990837,31.02767589627433
raw_long_relative_gap_pct_entry_5m_exit_30m,raw_gap_context,long,relative_gap_pct,1.0,2.0,5,30m,8,1.0,,,,,,13,53.84615384615385,1.6588530819905019,0.9827453802805364,22.603698544460116,30.910537591789648
raw_long_relative_gap_pct_entry_5m_exit_30m,raw_gap_context,long,relative_gap_pct,1.5,2.0,5,30m,8,1.0,,,,,,11,54.54545454545454,1.949141077306873,0.9827453802805364,22.522726142734626,30.865541209839833
raw_long_apld_gap_pct_entry_15m_exit_close,raw_gap_context,long,apld_gap_pct,1.0,1.5,15,close,8,0.0,,,,,,40,57.49999999999999,0.539345457522165,0.4607064476263578,17.581219944795446,30.825074495459237
