symbol,reaction_date,event_family,timing,surprise_pct,peak_vs_prev_close_pct,trough_vs_prev_close_pct,confirm15_close_from_open_pct,confirm30_close_from_open_pct,selected_family,selected_branch,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,directions,trade_returns_pct,trade_notes
ZS,2024-05-31,positive,amc,35.94,15.802322306031114,-1.9436011392444663,0.0981568328062065,0.0654378885374562,positive,failed_reclaim,4.278,0.0,11.225,1,Short,5.005929,Entry: Short @ 173.7100 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=186.1100 | TP=none | Short qty floored 5.756721 → 5 (Alpaca integer rule). | fill_diag: close=173.7100 H=175.3900 L=173.7000 range=0.973% | session_exit=eod | Session-close exit
FTNT,2024-08-07,positive,amc,40.18,25.65403096636414,13.187399893219444,-0.015424957581378,-0.015424957581378,positive,continuation,8.498,0.0,11.225,1,Long,8.577600,Entry: Long @ 64.8200 (signal-bar close) | regime=earnings_continuation_long | SL=62.2272 | TP=none | fill_diag: close=64.8200 H=64.8200 L=64.8200 range=0.000% | session_exit=eod | Session-close exit
TSLA,2024-10-24,positive,amc,24.76,18.231147388924956,9.157221037009556,0.1268445308866495,0.101475624709324,positive,continuation,7.172,0.0,11.225,1,Long,7.252376,Entry: Long @ 236.7500 (signal-bar close) | regime=earnings_continuation_long | SL=227.2800 | TP=none | fill_diag: close=236.7500 H=236.8400 L=236.6900 range=0.063% | session_exit=eod | Session-close exit
RBLX,2024-10-31,positive,bmo,4.3,24.64504213321021,-11.693408749855704,0.0,0.3211009174311829,positive,wave_best,6.442,0.0,11.0325,2,Short|Long,2.462462|4.141737,Entry: Short @ 49.9500 (signal-bar close) | regime=earnings_wave_short | SL=54.3139 | TP=none | Short qty floored 20.020020 → 20 (Alpaca integer rule). | fill_diag: close=49.9500 H=51.1500 L=49.4900 range=3.323% | session_exit=eod || Entry: Long @ 49.7400 (signal-bar close) | regime=earnings_wave_long | SL=47.7120 | TP=none | fill_diag: close=49.7400 H=49.9700 L=49.4500 range=1.045% | session_exit=eod
TEAM,2024-11-01,positive,amc,19.01,23.28608315329081,13.13168572482477,0.0,0.0,positive,wave_best,0.272,-1.987,0.6631,2,Short|Long,2.636953|-1.952350,Entry: Short @ 225.2600 (signal-bar close) | regime=earnings_wave_short | SL=235.3638 | TP=none | Short qty floored 4.439315 → 4 (Alpaca integer rule). | fill_diag: close=225.2600 H=229.0000 L=225.0100 range=1.771% | session_exit=eod || Entry: Long @ 221.2400 (signal-bar close) | regime=earnings_wave_long | SL=216.9206 | TP=none | fill_diag: close=221.2400 H=221.8300 L=219.1400 range=1.216% | session_exit=eod
MRVL,2024-12-04,positive,amc,5.53,20.60699588477366,8.888888888888879,0.4385146482552615,0.0093300988990296,positive,continuation,7.122,0.0,11.225,1,Long,7.202164,Entry: Long @ 107.1900 (signal-bar close) | regime=earnings_continuation_long | SL=102.9024 | TP=none | fill_diag: close=107.1900 H=107.2000 L=107.1900 range=0.009% | session_exit=eod | Session-close exit
TEAM,2025-01-31,positive,amc,66.39,22.66245249651955,16.26970688941567,-0.6144971156257784,-1.1161274140958133,positive,continuation,-0.971,-0.971,-11.225,1,Long,-0.890964,Entry: Long @ 315.4000 (signal-bar close) | regime=earnings_continuation_long | SL=302.7840 | TP=none | fill_diag: close=315.4000 H=316.4700 L=315.0600 range=0.447% | session_exit=eod | Session-close exit
AXON,2025-02-26,positive,amc,48.21,23.45727198027938,14.66926869350864,0.0,-0.5172413793103403,positive,continuation,0.861,0.0,11.225,1,Long,0.941075,Entry: Long @ 577.0000 (signal-bar close) | regime=earnings_continuation_long | SL=553.9200 | TP=none | fill_diag: close=577.0000 H=577.0000 L=577.0000 range=0.000% | session_exit=eod | Session-close exit
MCHP,2025-05-09,positive,amc,5.3,16.780609073958974,6.484358814998958,0.4814172925091453,1.521278644328894,positive,failed_reclaim,0.805,0.0,11.225,1,Short,0.915546,Entry: Short @ 53.5200 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=56.7082 | TP=none | Short qty floored 18.684604 → 18 (Alpaca integer rule). | fill_diag: close=53.5200 H=53.7600 L=53.2700 range=0.916% | session_exit=eod | Session-close exit
APLD,2025-07-31,positive,amc,85.94,38.89986564451118,14.696119497352388,2.0900321543408262,1.12540192926045,positive,wave_robust,2.256,-4.703,1.9176,2,Short|Long,-4.638388|7.382812,Entry: Short @ 12.3060 (signal-bar close) | regime=earnings_wave_robust_short | SL=12.8768 | TP=none | Short qty floored 81.261173 → 81 (Alpaca integer rule). | fill_diag: close=12.3060 H=12.8000 L=12.2000 range=4.876% | session_exit=eod || Entry: Long @ 12.8000 (signal-bar close) | regime=earnings_wave_robust_long | SL=12.1965 | TP=none | fill_diag: close=12.8000 H=13.0500 L=12.7600 range=2.266% | session_exit=eod
IDXX,2025-08-04,positive,bmo,9.97,28.065212536291217,4.219087322266057,0.0,0.0,positive,wave_best,1.133,-0.738,3.7198,2,Short|Long,-1.053805|1.964147,Entry: Short @ 650.5000 (signal-bar close) | regime=earnings_wave_short | SL=684.0799 | TP=none | Short qty floored 1.537279 → 1 (Alpaca integer rule). | fill_diag: close=650.5000 H=653.0700 L=649.1500 range=0.603% | session_exit=eod || Entry: Long @ 656.0100 (signal-bar close) | regime=earnings_wave_long | SL=646.1698 | TP=none | fill_diag: close=656.0100 H=657.9050 L=655.7100 range=0.335% | session_exit=eod
DDOG,2025-08-07,positive,bmo,12.84,15.330530858226998,-1.781927755663859,0.2048430755724695,0.5047918648035665,positive,failed_reclaim,5.799,0.0,11.225,1,Short,6.810585,Entry: Short @ 143.6000 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=155.9401 | TP=none | Short qty floored 6.963788 → 6 (Alpaca integer rule). | fill_diag: close=143.6000 H=145.0000 L=143.6000 range=0.975% | session_exit=eod | Session-close exit
AVGO,2025-09-05,positive,amc,1.6,17.222827342641178,6.172228273426406,0.1210104371502041,0.4840417486008164,positive,failed_reclaim,1.476,0.0,11.225,1,Short,2.251523,Entry: Short @ 339.7700 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=357.2809 | TP=none | Short qty floored 2.943167 → 2 (Alpaca integer rule). | fill_diag: close=339.7700 H=341.7300 L=339.4300 range=0.677% | session_exit=eod | Session-close exit
APLD,2025-10-10,positive,amc,80.65,38.79111900532859,16.625577264653657,-0.9986504723346724,-2.213225371120109,positive,short_only,3.661,0.0,9.1652,1,Short,3.768468,Entry: Short @ 36.7603 (signal-bar close) | regime=earnings_short_only_short | SL=38.9825 | TP=none | Short qty floored 27.203260 → 27 (Alpaca integer rule). | fill_diag: close=36.7603 H=37.0500 L=36.7600 range=0.789% | session_exit=eod
PYPL,2025-10-28,positive,bmo,14.47,16.645344705046217,-0.8813077469793762,-0.1988071570576566,-0.1562056234024389,positive,failed_reclaim,0.598,0.0,11.225,1,Short,0.722115,Entry: Short @ 77.5500 (signal-bar close) | regime=earnings_failed_reclaim_short | SL=82.5524 | TP=none | Short qty floored 12.894907 → 12 (Alpaca integer rule). | fill_diag: close=77.5500 H=77.6800 L=77.3000 range=0.490% | session_exit=eod | Session-close exit
STX,2025-10-29,positive,amc,8.76,20.43539645671084,6.107391720180355,0.0,0.1063060764553203,positive,continuation,10.909,0.0,11.225,1,Long,10.988871,Entry: Long @ 235.4200 (signal-bar close) | regime=earnings_continuation_long | SL=226.0032 | TP=none | fill_diag: close=235.4200 H=235.4200 L=235.4200 range=0.000% | session_exit=eod | Session-close exit
AXON,2026-02-25,positive,amc,34.51,27.47722260072287,12.70337994665065,-0.0759478880644981,-0.0876321785359679,positive,wave_best,-0.521,-1.563,-1.7104,2,Short|Long,2.172023|-1.500000,Entry: Short @ 505.9800 (signal-bar close) | regime=earnings_wave_short | SL=525.1320 | TP=none | Short qty floored 1.976363 → 1 (Alpaca integer rule). | fill_diag: close=505.9800 H=507.9460 L=504.0400 range=0.772% | session_exit=eod || Entry: Long @ 496.9500 (signal-bar close) | regime=earnings_wave_long | SL=489.4957 | TP=none | fill_diag: close=496.9500 H=496.9500 L=494.0695 range=0.580% | session_exit=eod
TXN,2026-04-23,positive,amc,22.76,19.64080520917564,9.018172532663748,0.3409831040956268,1.09957472893758,positive,continuation,5.804,0.0,11.225,1,Long,5.884303,Entry: Long @ 263.8800 (signal-bar close) | regime=earnings_continuation_long | SL=253.3248 | TP=none | fill_diag: close=263.8800 H=263.8800 L=260.7500 range=1.186% | session_exit=eod | Session-close exit
INTC,2026-04-24,positive,amc,2108.68,28.92403192432753,19.18415607449011,2.1281654975627173,2.0924979193912785,positive,wave_robust,2.087,0.0,10.1742,2,Short|Long,0.733319|1.567436,Entry: Short @ 83.4016 (signal-bar close) | regime=earnings_wave_robust_short | SL=87.7534 | TP=none | Short qty floored 11.990178 → 11 (Alpaca integer rule). | fill_diag: close=83.4016 H=83.4800 L=83.2600 range=0.264% | session_exit=eod || Entry: Long @ 82.3000 (signal-bar close) | regime=earnings_wave_robust_long | SL=81.0655 | TP=none | fill_diag: close=82.3000 H=82.7988 L=82.3000 range=0.606% | session_exit=eod
NXPI,2026-04-29,positive,amc,2.2,26.52721862419043,17.210747418169102,0.8026880716819118,0.8026880716819118,positive,continuation,6.613,0.0,11.225,1,Long,6.692593,Entry: Long @ 270.0000 (signal-bar close) | regime=earnings_continuation_long | SL=259.2000 | TP=none | fill_diag: close=270.0000 H=270.0000 L=270.0000 range=0.000% | session_exit=eod | Session-close exit
STX,2026-04-29,positive,amc,16.56,22.28070175438597,14.782456140350874,-0.4851878453848601,-0.9102768942114704,positive,wave_best,3.636,-0.103,6.854,2,Short|Long,-0.075245|3.822624,Entry: Short @ 664.5000 (signal-bar close) | regime=earnings_wave_short | SL=691.1220 | TP=none | Short qty floored 1.504891 → 1 (Alpaca integer rule). | fill_diag: close=664.5000 H=667.4000 L=664.5000 range=0.436% | session_exit=eod || Entry: Long @ 663.0000 (signal-bar close) | regime=earnings_wave_long | SL=653.0550 | TP=none | fill_diag: close=663.0000 H=663.0000 L=662.7487 range=0.038% | session_exit=eod
QCOM,2026-04-30,positive,amc,3.58,21.420153326403344,6.262993762993774,-0.6928406466512604,-0.2771362586605042,positive,continuation,-4.08,-4.08,-9.1652,1,Long,-4.000000,Entry: Long @ 172.7200 (signal-bar close) | regime=earnings_continuation_long | SL=165.8112 | TP=none | fill_diag: close=172.7200 H=172.7200 L=172.7200 range=0.000% | session_exit=eod
MSTR,2024-04-30,negative,amc,-306.58,-5.666203489269717,-16.311563995677,0.0,-1.3093289689034449,negative,continuation_short,8.355,0.0,11.225,1,Short,8.739635,Entry: Short @ 120.6000 (signal-bar close) | regime=earnings_negative_continuation_short | SL=126.6300 | TP=none | Short qty floored 8.291874 → 8 (Alpaca integer rule). | fill_diag: close=120.6000 H=120.6000 L=120.6000 range=0.000% | session_exit=eod | Session-close exit
DASH,2024-05-02,negative,amc,-25.76,-6.103286384976525,-14.663536776212826,-0.2329749103942568,0.3673835125448166,negative,negative_rebound,2.407,0.0,9.1652,1,Long,2.487136,Entry: Long @ 116.6000 (signal-bar close) | regime=earnings_negative_rebound_long | SL=110.1352 | TP=none | fill_diag: close=116.6000 H=117.3800 L=111.5000 range=5.043% | session_exit=eod
ABNB,2024-08-07,negative,amc,-9.23,-11.493240396767655,-16.671134770786256,-0.0091074681238478,0.1183970856102112,negative,negative_rebound,-0.257,-0.257,-9.1651,1,Long,-0.176678,Entry: Long @ 113.2000 (signal-bar close) | regime=earnings_negative_rebound_long | SL=108.1373 | TP=none | fill_diag: close=113.2000 H=113.2000 L=112.8800 range=0.283% | session_exit=eod
MNST,2024-08-08,negative,amc,-9.61,-8.019097729708658,-15.580239695995324,-0.2799913848804736,-0.2799913848804736,negative,continuation_short,2.6,0.0,11.225,1,Short,2.753780,Entry: Short @ 46.3000 (signal-bar close) | regime=earnings_negative_continuation_short | SL=48.6150 | TP=none | Short qty floored 21.598272 → 21 (Alpaca integer rule). | fill_diag: close=46.3000 H=46.3000 L=46.3000 range=0.000% | session_exit=eod | Session-close exit
WBD,2024-08-08,negative,amc,-2174.12,-8.742820676451812,-14.741544352265478,0.0,-1.3293943870014702,negative,negative_rebound,0.783,0.0,9.1651,1,Long,0.863309,Entry: Long @ 6.9500 (signal-bar close) | regime=earnings_negative_rebound_long | SL=6.6399 | TP=none | fill_diag: close=6.9500 H=6.9575 L=6.7527 range=2.947% | session_exit=eod
