variant,params_json,overall_compounded_return_pct,overall_triggered_events,overall_total_trades,overall_win_rate_pct,overall_max_drawdown_pct,branch,branch_events,branch_compounded_return_pct,branch_mean_return_pct,branch_win_rate_pct
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=4p0|rebound_impulse_min=0p5|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": -0.5}}",195.88749913876796,36,44,83.33333333333334,-4.079999999999995,negative_rebound,10,10.99352903646107,1.0586,70.0
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=4p0|rebound_impulse_min=0p75|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": -0.5}}",193.9133827594401,36,44,83.33333333333334,-4.079999999999995,negative_rebound,10,10.252997096760863,0.9911,70.0
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=4p0|rebound_impulse_min=0p75|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": 0.0}}",193.9133827594401,36,44,83.33333333333334,-4.079999999999995,negative_rebound,10,10.252997096760863,0.9911,70.0
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=4p0|rebound_impulse_min=0p75|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.75, ""vwap_reclaim_min"": 0.25}}",193.76477388706758,36,44,83.33333333333334,-4.079999999999995,negative_rebound,10,10.197250830903858,0.986,70.0
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=4p0|rebound_impulse_min=0p5|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": 0.0}}",193.65135964996037,36,44,83.33333333333334,-4.079999999999995,negative_rebound,10,10.154706801648983,0.9822,70.0
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=4p0|rebound_impulse_min=0p5|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 0.5, ""vwap_reclaim_min"": 0.25}}",193.5028832620582,36,44,83.33333333333334,-4.079999999999995,negative_rebound,10,10.099010233460692,0.9770999999999999,70.0
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=4p0|rebound_impulse_min=1p0|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": -0.5}}",193.2244680670999,36,44,83.33333333333334,-4.079999999999995,negative_rebound,10,9.994570927590217,0.9677,70.0
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=4p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.0}}",193.2244680670999,36,44,83.33333333333334,-4.079999999999995,negative_rebound,10,9.994570927590217,0.9677,70.0
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=4p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 4.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.25}}",193.07620752468307,36,44,83.33333333333334,-4.079999999999995,negative_rebound,10,9.938955327513831,0.9625999999999999,70.0
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=5p0|rebound_impulse_min=1p0|vwap_reclaim_min=-0p5,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": -0.5}}",189.38002050210466,35,43,85.71428571428571,-4.079999999999995,negative_rebound,9,8.552439023821169,0.9254444444444445,77.77777777777779
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=5p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p0,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.0}}",189.38002050210466,35,43,85.71428571428571,-4.079999999999995,negative_rebound,9,8.552439023821169,0.9254444444444445,77.77777777777779
negative|entry_min_close_from_open_pct=0p0|rebound_from_trough_min=5p0|rebound_impulse_min=1p0|vwap_reclaim_min=0p25,"{""negative"": {""entry_min_close_from_open_pct"": 0.0, ""rebound_from_trough_min"": 5.0, ""rebound_impulse_min"": 1.0, ""vwap_reclaim_min"": 0.25}}",189.38002050210466,35,43,85.71428571428571,-4.079999999999995,negative_rebound,9,8.552439023821169,0.9254444444444445,77.77777777777779
