variant,params_json,overall_compounded_return_pct,overall_triggered_events,overall_total_trades,overall_win_rate_pct,overall_max_drawdown_pct,branch,branch_events,branch_compounded_return_pct,branch_mean_return_pct,branch_win_rate_pct
positive|wave_best_long_entry_min_close_from_open_pct=none|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p0,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": null, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.0}}",195.88749913876796,36,44,83.33333333333334,-4.079999999999995,wave_best,5,11.28269817914218,2.1924,80.0
positive|wave_best_long_entry_min_close_from_open_pct=0p0|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p0,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.0, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.0}}",195.50130323944407,36,44,83.33333333333334,-4.080000000000005,wave_best,5,11.137450671803828,2.166,80.0
positive|wave_best_long_entry_min_close_from_open_pct=none|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p25,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": null, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.25}}",185.63906983189136,36,43,80.55555555555556,-4.178797599999995,wave_best,5,7.428284360758619,1.4746000000000001,60.0
positive|wave_best_long_entry_min_close_from_open_pct=0p25|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p0,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.25, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.0}}",183.58799289812623,36,43,80.55555555555556,-4.178797599999983,wave_best,5,6.656878417531087,1.3294000000000001,60.0
positive|wave_best_long_entry_min_close_from_open_pct=none|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p5,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": null, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.5}}",182.76339418711197,36,43,77.77777777777779,-4.178797600000006,wave_best,5,6.346748487257536,1.2724,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p0|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p25,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.0, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.25}}",182.39432802638603,36,43,77.77777777777779,-4.178797599999983,wave_best,5,6.207943440434849,1.246,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p0|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p5,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.0, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.5}}",182.39432802638603,36,43,77.77777777777779,-4.178797599999983,wave_best,5,6.207943440434849,1.246,40.0
positive|wave_best_long_entry_min_close_from_open_pct=none|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p0,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": null, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.0}}",181.2957383245775,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.794766045090638,1.1685999999999999,40.0
positive|wave_best_long_entry_min_close_from_open_pct=none|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p25,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": null, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.25}}",181.2957383245775,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.794766045090638,1.1685999999999999,40.0
positive|wave_best_long_entry_min_close_from_open_pct=none|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p5,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": null, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.5}}",181.2957383245775,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.794766045090638,1.1685999999999999,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p0|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p0,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.0, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.0}}",181.2957383245775,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.794766045090638,1.1685999999999999,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p0|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p25,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.0, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.25}}",181.2957383245775,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.794766045090638,1.1685999999999999,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p0|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p5,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.0, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.5}}",181.2957383245775,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.794766045090638,1.1685999999999999,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p25|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p25,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.25, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.25}}",181.15292366758044,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.741053737485835,1.1572,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p25|wave_best_long_entry_mode=ema_turn|wave_best_long_momentum_min=0p5,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.25, ""wave_best_long_entry_mode"": ""ema_turn"", ""wave_best_long_momentum_min"": 0.5}}",181.15292366758044,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.741053737485835,1.1572,40.0
positive|wave_best_long_entry_min_close_from_open_pct=0p25|wave_best_long_entry_mode=break_prev_high|wave_best_long_momentum_min=0p0,"{""positive"": {""wave_best_long_entry_min_close_from_open_pct"": 0.25, ""wave_best_long_entry_mode"": ""break_prev_high"", ""wave_best_long_momentum_min"": 0.0}}",180.0591633617938,36,43,77.77777777777779,-4.178797599999983,wave_best,5,5.329692668351571,1.0798,40.0
