symbol,reaction_date,timing,surprise_pct,trough_vs_prev_close_pct,confirm15_close_from_open_pct,confirm30_close_from_open_pct,return_pct,trades
SBUX,2024-05-01,amc,-15.19,-17.386133904150324,0.1356483993488755,-0.5154639175257714,-0.252,1
DASH,2024-05-02,amc,-25.76,-14.663536776212826,-0.2329749103942568,0.3673835125448166,2.407,1
ABNB,2024-08-07,amc,-9.23,-16.671134770786256,-0.0091074681238478,0.1183970856102112,-0.257,1
MNST,2024-08-08,amc,-9.61,-15.580239695995324,-0.2799913848804736,-0.2799913848804736,-0.047,1
WBD,2024-08-08,amc,-2174.12,-14.741544352265478,0.0,-1.3293943870014702,0.783,1
PDD,2024-11-21,bmo,-5.47,-15.04641793659135,-1.0940730530668463,-1.180220537560306,-0.84,1
PDD,2025-05-27,bmo,-39.82,-20.39122703023117,-0.7179995048279264,-0.4621606008087808,1.093,1
ARM,2025-07-31,amc,-0.31,-14.446345636763624,-0.4005778828473971,0.4728132387706862,0.098,1
CHTR,2025-10-31,bmo,-10.5,-14.414451485474444,0.0,0.0,2.879,1
PYPL,2026-02-03,bmo,-4.4,-20.132575757575754,0.2424920723745671,0.186532363365055,3.782,2
CPRT,2026-02-20,amc,-7.54,-12.831518427258048,-0.0282485875706117,-0.0282485875706117,-0.225,1
MELI,2026-02-25,amc,-3.52,-12.669989019342854,0.1600383221016299,-0.1224783077308333,0.866,1
