symbol,reaction_date,selected_branch,trade_num,direction,entry_time,exit_time,entry_price,exit_price,return_pct,pnl,capital_allocated,outcome,notes
MSTR,2024-04-30,continuation_short,1,Short,2024-04-30T11:00:00,2024-04-30T16:00:00,120.6,110.06,8.739635157545598,83.54815999999992,964.8,Counter-signal exit,Entry: Short @ 120.6000 (signal-bar close) | regime=earnings_negative_continuation_short | SL=126.6300 | TP=none | Short qty floored 8.291874 → 8 (Alpaca integer rule). | fill_diag: close=120.6000 H=120.6000 L=120.6000 range=0.000% | session_exit=eod | Session-close exit
DASH,2024-05-02,rebound_long,1,Long,2024-05-02T12:00:00,2024-05-02T12:01:00,116.6,119.5,2.4871355060034355,24.071355060034357,1000.0,Counter-signal exit,Entry: Long @ 116.6000 (signal-bar close) | regime=earnings_negative_rebound_long | SL=110.1352 | TP=none | fill_diag: close=116.6000 H=117.3800 L=111.5000 range=5.043% | session_exit=eod
ABNB,2024-08-07,rebound_long,1,Long,2024-08-07T12:46:00,2024-08-07T12:47:00,113.2,113.0,-0.17667844522968448,-2.5667844522968446,1000.0,Counter-signal exit,Entry: Long @ 113.2000 (signal-bar close) | regime=earnings_negative_rebound_long | SL=108.1373 | TP=none | fill_diag: close=113.2000 H=113.2000 L=112.8800 range=0.283% | session_exit=eod
MNST,2024-08-08,continuation_short,1,Short,2024-08-08T10:17:00,2024-08-08T16:00:00,46.3,45.025,2.753779697624187,25.997159999999965,972.3,Counter-signal exit,Entry: Short @ 46.3000 (signal-bar close) | regime=earnings_negative_continuation_short | SL=48.6150 | TP=none | Short qty floored 21.598272 → 21 (Alpaca integer rule). | fill_diag: close=46.3000 H=46.3000 L=46.3000 range=0.000% | session_exit=eod | Session-close exit
WBD,2024-08-08,rebound_long,1,Long,2024-08-08T12:00:00,2024-08-08T12:02:00,6.95,7.01,0.86330935251798,7.833093525179801,1000.0,Counter-signal exit,Entry: Long @ 6.9500 (signal-bar close) | regime=earnings_negative_rebound_long | SL=6.6399 | TP=none | fill_diag: close=6.9500 H=6.9575 L=6.7527 range=2.947% | session_exit=eod
PDD,2024-11-21,rebound_long,1,Long,2024-11-21T12:00:00,2024-11-21T12:01:00,106.59,105.78,-0.7599211933577279,-8.399211933577279,1000.0,Counter-signal exit,Entry: Long @ 106.5900 (signal-bar close) | regime=earnings_negative_rebound_long | SL=96.4180 | TP=none | fill_diag: close=106.5900 H=106.7500 L=105.0000 range=1.642% | session_exit=eod
PDD,2025-05-27,rebound_long,1,Long,2025-05-27T13:20:00,2025-05-27T14:22:00,98.66,99.817,1.1727143725927391,10.927143725927392,1000.0,Counter-signal exit,Entry: Long @ 98.6600 (signal-bar close) | regime=earnings_negative_rebound_long | SL=93.4459 | TP=none | fill_diag: close=98.6600 H=98.6600 L=98.5000 range=0.162% | session_exit=eod
ARM,2025-07-31,rebound_long,1,Long,2025-07-31T14:14:00,2025-07-31T14:15:00,145.67,145.93,0.178485618178087,0.9848561817808701,1000.0,Counter-signal exit,Entry: Long @ 145.6700 (signal-bar close) | regime=earnings_negative_rebound_long | SL=139.1600 | TP=none | fill_diag: close=145.6700 H=145.6800 L=144.9018 range=0.534% | session_exit=eod
MRVL,2025-08-29,continuation_short,1,Short,2025-08-29T10:00:00,2025-08-29T16:00:00,66.02,64.66,2.05998182368979,19.607759999999992,990.3,Counter-signal exit,Entry: Short @ 66.0200 (signal-bar close) | regime=earnings_negative_continuation_short | SL=69.3210 | TP=none | Short qty floored 15.146925 → 15 (Alpaca integer rule). | fill_diag: close=66.0200 H=66.2800 L=66.0200 range=0.394% | session_exit=eod | Session-close exit
SNPS,2025-09-10,continuation_short,1,Short,2025-09-10T10:00:00,2025-09-10T16:00:00,475.84,399.355,16.073680228648275,152.2086559999999,951.6800000000001,Counter-signal exit,Entry: Short @ 475.8400 (signal-bar close) | regime=earnings_negative_continuation_short | SL=499.6320 | TP=none | Short qty floored 2.101547 → 2 (Alpaca integer rule). | fill_diag: close=475.8400 H=476.0000 L=475.8400 range=0.034% | session_exit=eod | Session-close exit
CHTR,2025-10-31,rebound_long,1,Long,2025-10-31T13:28:00,2025-10-31T13:31:00,216.49,222.895,2.958566215529586,28.785662155295856,1000.0,Counter-signal exit,Entry: Long @ 216.4900 (signal-bar close) | regime=earnings_negative_rebound_long | SL=206.7421 | TP=none | fill_diag: close=216.4900 H=216.4900 L=211.7000 range=2.213% | session_exit=eod
PYPL,2026-02-03,rebound_long,1,Long,2026-02-03T13:01:00,2026-02-03T13:03:00,52.97,53.74,1.453653011138386,13.73653011138386,1000.0,Counter-signal exit,Entry: Long @ 52.9700 (signal-bar close) | regime=earnings_negative_rebound_long | SL=43.1595 | TP=none | fill_diag: close=52.9700 H=53.2300 L=43.8700 range=17.670% | session_exit=eod
PYPL,2026-02-03,rebound_then_fail,2,Short,2026-02-03T13:06:00,2026-02-03T13:16:00,44.01,42.88,2.567598273119735,24.085423999999897,968.2199999999999,Counter-signal exit,Entry: Short @ 44.0100 (signal-bar close) | regime=earnings_negative_short_after_rebound | SL=54.4548 | TP=none | Short qty floored 22.722109 → 22 (Alpaca integer rule). | fill_diag: close=44.0100 H=54.0500 L=43.7400 range=23.426%
