symbol,status,events
AAPL,ok,8
ABNB,ok,8
ADBE,ok,8
ADI,ok,8
ADP,ok,9
ADSK,ok,8
AEP,ok,8
ALNY,ok,9
AMAT,ok,8
AMD,ok,8
AMGN,ok,8
AMZN,ok,8
APLD,ok,9
APP,ok,8
ARM,ok,8
ASML,ok,8
AVGO,ok,8
AXON,ok,8
BKNG,ok,9
BKR,ok,9
CCEP,ok,0
CDNS,ok,9
CEG,ok,8
CHTR,ok,9
CMCSA,ok,9
COST,ok,8
CPRT,ok,8
CRWD,ok,8
CSCO,ok,8
CSGP,ok,9
CSX,ok,9
CTAS,ok,8
CTSH,ok,9
DASH,ok,8
DDOG,ok,8
DXCM,ok,8
EA,ok,8
EXC,ok,8
FANG,ok,8
FAST,ok,9
FER,ok,0
FTNT,ok,8
GEHC,ok,9
GILD,ok,8
GOOG,ok,9
GOOGL,ok,9
HON,ok,9
IDXX,ok,8
INSM,ok,8
INTC,ok,8
INTU,ok,8
ISRG,ok,9
KDP,ok,9
KHC,ok,8
KLAC,ok,9
LIN,ok,7
LRCX,ok,9
MAR,ok,8
MCHP,ok,8
MDLZ,ok,9
MELI,ok,8
META,ok,9
MNST,ok,8
MPWR,ok,8
MRVL,ok,8
MSFT,ok,9
MSTR,ok,8
MU,ok,8
NFLX,ok,9
NVDA,ok,8
NXPI,ok,9
ODFL,ok,9
ORLY,ok,9
PANW,ok,8
PAYX,ok,8
PCAR,ok,9
PDD,ok,8
PEP,ok,9
PLTR,ok,8
PYPL,ok,8
QCOM,ok,9
RBLX,ok,8
REGN,ok,9
ROP,ok,9
ROST,ok,8
SBUX,ok,9
SHOP,ok,8
SNPS,ok,8
STX,ok,9
TEAM,ok,8
TMUS,ok,8
TRI,ok,8
TSLA,ok,9
TTWO,ok,8
TXN,ok,9
VRSK,ok,9
VRTX,ok,8
WBD,ok,8
WDAY,ok,8
WDC,ok,8
WMT,ok,8
XEL,ok,9
ZS,ok,8
