symbol,reaction_date,trade_num,direction,entry_time,exit_time,entry_price,exit_price,return_pct,pnl,capital_allocated,outcome,notes
GOOG,2024-04-26,1,Long,2024-04-26T10:00:00,2024-04-26T16:00:00,174.77,172.05,-1.556331178119814,-16.36331178119814,1000.0,Counter-signal exit,Entry: Long @ 174.7700 (signal-bar close) | regime=earnings_positive_continuation_long | SL=167.7792 | TP=none | fill_diag: close=174.7700 H=174.7700 L=174.7600 range=0.006% | session_exit=eod | Session-close exit
GOOGL,2024-04-26,1,Long,2024-04-26T10:00:00,2024-04-26T16:00:00,172.9,170.41,-1.4401388085598665,-15.201388085598666,1000.0,Counter-signal exit,Entry: Long @ 172.9000 (signal-bar close) | regime=earnings_positive_continuation_long | SL=165.9840 | TP=none | fill_diag: close=172.9000 H=172.9000 L=172.8600 range=0.023% | session_exit=eod | Session-close exit
AMGN,2024-05-03,1,Long,2024-05-03T10:24:00,2024-05-03T16:00:00,298.88,296.16,-0.9100642398286838,-9.900642398286838,1000.0,Counter-signal exit,Entry: Long @ 298.8800 (signal-bar close) | regime=earnings_positive_continuation_long | SL=286.9248 | TP=none | fill_diag: close=298.8800 H=298.8800 L=298.8800 range=0.000% | session_exit=eod | Session-close exit
ZS,2024-05-31,1,Long,2024-05-31T10:14:00,2024-05-31T12:00:00,183.5,176.16,-4.000000000000002,-40.80000000000002,1000.0,SL hit,Entry: Long @ 183.5000 (signal-bar close) | regime=earnings_positive_continuation_long | SL=176.1600 | TP=none | fill_diag: close=183.5000 H=183.5000 L=183.5000 range=0.000% | session_exit=eod
CRWD,2024-06-05,1,Long,2024-06-05T10:08:00,2024-06-05T16:00:00,329.25,331.8699,0.7957175398633175,7.157175398633175,1000.0,Counter-signal exit,Entry: Long @ 329.2500 (signal-bar close) | regime=earnings_positive_continuation_long | SL=316.0800 | TP=none | fill_diag: close=329.2500 H=329.2500 L=329.2500 range=0.000% | session_exit=eod | Session-close exit
AVGO,2024-06-13,1,Long,2024-06-13T10:00:00,2024-06-13T16:00:00,164.93,165.03,0.0606317831807399,-0.1936821681926011,1000.0,Counter-signal exit,Entry: Long @ 164.9300 (signal-bar close) | regime=earnings_positive_continuation_long | SL=158.3328 | TP=none | fill_diag: close=164.9300 H=164.9300 L=164.9300 range=0.000% | session_exit=eod | Session-close exit
ADBE,2024-06-14,1,Long,2024-06-14T10:00:00,2024-06-14T16:00:00,527.15,524.53,-0.49701223560656443,-5.770122356065644,1000.0,Counter-signal exit,Entry: Long @ 527.1500 (signal-bar close) | regime=earnings_positive_continuation_long | SL=506.0640 | TP=none | fill_diag: close=527.1500 H=527.1500 L=527.1500 range=0.000% | session_exit=eod | Session-close exit
FTNT,2024-08-07,1,Long,2024-08-07T10:14:00,2024-08-07T16:00:00,64.82,70.38,8.577599506325214,84.97599506325214,1000.0,Counter-signal exit,Entry: Long @ 64.8200 (signal-bar close) | regime=earnings_positive_continuation_long | SL=62.2272 | TP=none | fill_diag: close=64.8200 H=64.8200 L=64.8200 range=0.000% | session_exit=eod | Session-close exit
TSLA,2024-10-24,1,Long,2024-10-24T10:00:00,2024-10-24T16:00:00,236.75,253.92,7.252375923970428,71.72375923970428,1000.0,Counter-signal exit,Entry: Long @ 236.7500 (signal-bar close) | regime=earnings_positive_continuation_long | SL=227.2800 | TP=none | fill_diag: close=236.7500 H=236.8400 L=236.6900 range=0.063% | session_exit=eod | Session-close exit
CDNS,2024-10-29,1,Long,2024-10-29T11:01:00,2024-10-29T16:00:00,267.61,284.67,6.37494861925937,62.949486192593696,1000.0,Counter-signal exit,Entry: Long @ 267.6100 (signal-bar close) | regime=earnings_positive_continuation_long | SL=256.9056 | TP=none | fill_diag: close=267.6100 H=267.6100 L=267.6100 range=0.000% | session_exit=eod | Session-close exit
