label,continuation_enabled,continuation_gap_pct_min,continuation_confirm5_min,continuation_confirm15_min,continuation_confirm30_min,triggered_events,total_trades,compounded_event_return_pct,win_rate_pct,max_drawdown_pct,continuation_event_count
baseline_no_continuation,False,,,,,13,20,36.71346764868091,92.3076923076923,-0.5210000000000048,0
cont_gap4_c50_c15none_c30none,True,4.0,0.0,,,52,59,10.52284156480605,38.46153846153847,-15.046454710045742,39
cont_gap4_c50_c15none_c300,True,4.0,0.0,,0.0,42,49,22.247552969467677,42.857142857142854,-10.692537139835135,29
cont_gap4_c50_c150_c30none,True,4.0,0.0,0.0,,45,52,20.69987579362298,42.22222222222222,-9.906647220459398,32
cont_gap4_c50_c150_c300,True,4.0,0.0,0.0,0.0,38,45,30.288694309368893,47.368421052631575,-7.802099776587024,25
cont_gap4_c50.1_c15none_c30none,True,4.0,0.1,,,39,46,8.50350687976471,38.46153846153847,-13.805082720130324,26
cont_gap4_c50.1_c15none_c300,True,4.0,0.1,,0.0,35,42,15.640598899210145,42.857142857142854,-12.421339890398652,22
cont_gap4_c50.1_c150_c30none,True,4.0,0.1,0.0,,35,42,15.64059889921019,42.857142857142854,-11.015382940864294,22
cont_gap4_c50.1_c150_c300,True,4.0,0.1,0.0,0.0,32,39,21.299846171377723,46.875,-9.586855253875537,19
cont_gap4_c50.25_c15none_c30none,True,4.0,0.25,,,24,31,14.42643308246132,50.0,-9.586855253875527,11
cont_gap4_c50.25_c15none_c300,True,4.0,0.25,,0.0,23,30,16.26339471902185,52.17391304347826,-8.135394486766446,10
cont_gap4_c50.25_c150_c30none,True,4.0,0.25,0.0,,24,31,14.42643308246132,50.0,-9.586855253875527,11
cont_gap4_c50.25_c150_c300,True,4.0,0.25,0.0,0.0,23,30,16.26339471902185,52.17391304347826,-8.135394486766446,10
cont_gap6_c50_c15none_c30none,True,6.0,0.0,,,44,51,20.07165066803549,43.18181818181818,-11.962665377012883,31
cont_gap6_c50_c15none_c300,True,6.0,0.0,,0.0,37,44,26.6131155645305,45.94594594594595,-9.258826600116986,24
cont_gap6_c50_c150_c30none,True,6.0,0.0,0.0,,38,45,29.056125535068446,47.368421052631575,-9.11333573304468,25
cont_gap6_c50_c150_c300,True,6.0,0.0,0.0,0.0,33,40,34.94141280246312,51.515151515151516,-6.3219871739351845,20
cont_gap6_c50.1_c15none_c30none,True,6.0,0.1,,,34,41,17.49705232596035,44.11764705882353,-12.421339890398663,21
cont_gap6_c50.1_c15none_c300,True,6.0,0.1,,0.0,31,38,23.247151159700998,48.38709677419355,-11.015382940864294,18
cont_gap6_c50.1_c150_c30none,True,6.0,0.1,0.0,,30,37,25.22571749614002,50.0,-9.586855253875527,17
cont_gap6_c50.1_c150_c300,True,6.0,0.1,0.0,0.0,28,35,29.278649704696157,53.57142857142857,-8.135394486766423,15
cont_gap6_c50.25_c15none_c30none,True,6.0,0.25,,,22,29,18.129846290410367,54.54545454545454,-9.586855253875514,9
cont_gap6_c50.25_c15none_c300,True,6.0,0.25,,0.0,21,28,20.026261217649232,57.14285714285714,-8.135394486766412,8
cont_gap6_c50.25_c150_c30none,True,6.0,0.25,0.0,,22,29,18.129846290410367,54.54545454545454,-9.586855253875514,9
cont_gap6_c50.25_c150_c300,True,6.0,0.25,0.0,0.0,21,28,20.026261217649232,57.14285714285714,-8.135394486766412,8
