variant,branch_type,symbol,reaction_date,timing,surprise_pct,peak_vs_prev_close_pct,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,short_return_pct,long_return_pct,short_entry_time,short_exit_time,long_entry_time,long_exit_time,short_outcome,long_outcome
short_only_tight_sexittime_10_sreb0.5,short_only,MU,2024-09-26,amc,5.88,20.779083306869907,-1.566,-1.566,-9.1652,1,-1.4861803352967835,,2024-09-26T13:35:00,2024-09-26T13:45:00,,,Counter-signal exit,
short_only_tight_sexittime_10_sreb0.5,short_only,RBLX,2024-10-31,bmo,4.3,24.64504213321021,2.382,0.0,9.1652,1,2.4624624624624705,,2024-10-31T13:30:00,2024-10-31T13:40:00,,,Counter-signal exit,
short_only_tight_sexittime_10_sreb0.5,short_only,TEAM,2024-11-01,amc,19.01,23.28608315329081,2.557,0.0,9.1652,1,2.6369528544792677,,2024-11-01T13:28:00,2024-11-01T13:38:00,,,Counter-signal exit,
short_only_tight_sexittime_10_sreb0.5,short_only,APP,2025-05-08,amc,21.79,20.761087943813216,-2.07,-2.07,-9.1652,1,-1.9902020820575592,,2025-05-08T13:48:00,2025-05-08T13:58:00,,,Counter-signal exit,
short_only_tight_sexittime_10_sreb0.5,short_only,IDXX,2025-08-04,bmo,9.97,28.065212536291217,-1.134,-1.134,-9.1651,1,-1.0538047655649527,,2025-08-04T13:59:00,2025-08-04T14:09:00,,,Counter-signal exit,
short_only_tight_sexittime_10_sreb0.5,short_only,APLD,2025-10-10,amc,80.65,38.79111900532859,-0.678,-0.678,-9.1651,1,-0.5976556230498554,,2025-10-10T13:11:00,2025-10-10T13:21:00,,,Counter-signal exit,
short_only_tight_sexittime_10_sreb0.5,short_only,AXON,2026-02-25,amc,34.51,27.47722260072287,2.092,0.0,9.1652,1,2.1720226095893134,,2026-02-25T13:56:00,2026-02-25T14:06:00,,,Counter-signal exit,
short_only_tight_sexittime_10_sreb0.5,short_only,INTC,2026-04-24,amc,2108.68,28.92403192432753,0.521,0.0,9.1651,1,0.6014273107470315,,2026-04-24T13:01:00,2026-04-24T13:11:00,,,Counter-signal exit,
short_only_tight_sexittime_10_sreb0.5,short_only,STX,2026-04-29,amc,16.56,22.28070175438597,-0.155,-0.155,-9.1651,1,-0.07524454477050413,,2026-04-29T13:02:00,2026-04-29T13:12:00,,,Counter-signal exit,
short_only_tight_sexittime_20_sreb0.5,short_only,MU,2024-09-26,amc,5.88,20.779083306869907,-0.424,-0.424,-9.1651,1,-0.3443588581785317,,2024-09-26T13:35:00,2024-09-26T13:55:00,,,Counter-signal exit,
short_only_tight_sexittime_20_sreb0.5,short_only,RBLX,2024-10-31,bmo,4.3,24.64504213321021,-0.16,-0.16,-9.1651,1,-0.08008008008007837,,2024-10-31T13:30:00,2024-10-31T13:50:00,,,Counter-signal exit,
short_only_tight_sexittime_20_sreb0.5,short_only,TEAM,2024-11-01,amc,19.01,23.28608315329081,2.375,0.0,9.1652,1,2.454940957116222,,2024-11-01T13:28:00,2024-11-01T13:48:00,,,Counter-signal exit,
short_only_tight_sexittime_20_sreb0.5,short_only,APP,2025-05-08,amc,21.79,20.761087943813216,-3.829,-3.829,-9.1652,1,-3.7485784270842495,,2025-05-08T13:48:00,2025-05-08T14:08:00,,,Counter-signal exit,
short_only_tight_sexittime_20_sreb0.5,short_only,IDXX,2025-08-04,bmo,9.97,28.065212536291217,-1.892,-1.892,-9.1652,1,-1.8122982321291294,,2025-08-04T13:59:00,2025-08-04T14:19:00,,,Counter-signal exit,
short_only_tight_sexittime_20_sreb0.5,short_only,APLD,2025-10-10,amc,80.65,38.79111900532859,3.688,0.0,9.1652,1,3.768467613158763,,2025-10-10T13:11:00,2025-10-10T13:31:00,,,Counter-signal exit,
short_only_tight_sexittime_20_sreb0.5,short_only,AXON,2026-02-25,amc,34.51,27.47722260072287,1.902,0.0,9.1652,1,1.9822917901893413,,2026-02-25T13:56:00,2026-02-25T14:16:00,,,Counter-signal exit,
short_only_tight_sexittime_20_sreb0.5,short_only,INTC,2026-04-24,amc,2108.68,28.92403192432753,0.653,0.0,9.1651,1,0.733319264858223,,2026-04-24T13:01:00,2026-04-24T13:21:00,,,Counter-signal exit,
short_only_tight_sexittime_20_sreb0.5,short_only,STX,2026-04-29,amc,16.56,22.28070175438597,0.146,0.0,9.1651,1,0.2257336343115124,,2026-04-29T13:02:00,2026-04-29T13:23:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb0.5,short_only,MU,2024-09-26,amc,5.88,20.779083306869907,-0.905,-0.905,-9.1651,1,-0.8246488445854199,,2024-09-26T13:35:00,2024-09-26T13:38:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb0.5,short_only,RBLX,2024-10-31,bmo,4.3,24.64504213321021,1.291,0.0,9.1652,1,1.371371371371376,,2024-10-31T13:30:00,2024-10-31T13:34:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb0.5,short_only,TEAM,2024-11-01,amc,19.01,23.28608315329081,2.557,0.0,9.1652,1,2.6369528544792677,,2024-11-01T13:28:00,2024-11-01T13:38:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb0.5,short_only,APP,2025-05-08,amc,21.79,20.761087943813216,-0.707,-0.707,-9.1651,1,-0.6269501064357091,,2025-05-08T13:48:00,2025-05-08T13:50:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb0.5,short_only,IDXX,2025-08-04,bmo,9.97,28.065212536291217,-0.671,-0.671,-9.1651,1,-0.5910837817063839,,2025-08-04T13:59:00,2025-08-04T14:06:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb0.5,short_only,APLD,2025-10-10,amc,80.65,38.79111900532859,-1.242,-1.242,-9.1652,1,-1.162395301452933,,2025-10-10T13:11:00,2025-10-10T13:13:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb0.5,short_only,AXON,2026-02-25,amc,34.51,27.47722260072287,1.705,0.0,9.1652,1,1.7846555199810328,,2026-02-25T13:56:00,2026-02-25T14:07:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb0.5,short_only,INTC,2026-04-24,amc,2108.68,28.92403192432753,0.653,0.0,9.1651,1,0.733319264858223,,2026-04-24T13:01:00,2026-04-24T13:21:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb0.5,short_only,STX,2026-04-29,amc,16.56,22.28070175438597,-0.456,-0.456,-9.1651,1,-0.3762227238525207,,2026-04-29T13:02:00,2026-04-29T13:09:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb1.0,short_only,MU,2024-09-26,amc,5.88,20.779083306869907,-1.041,-1.041,-9.1651,1,-0.9605799728137765,,2024-09-26T13:35:00,2024-09-26T13:43:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb1.0,short_only,RBLX,2024-10-31,bmo,4.3,24.64504213321021,1.291,0.0,9.1652,1,1.371371371371376,,2024-10-31T13:30:00,2024-10-31T13:34:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb1.0,short_only,TEAM,2024-11-01,amc,19.01,23.28608315329081,1.705,0.0,9.1652,1,1.78460445707182,,2024-11-01T13:28:00,2024-11-01T13:39:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb1.0,short_only,APP,2025-05-08,amc,21.79,20.761087943813216,-1.086,-1.086,-9.1651,1,-1.0060362173038195,,2025-05-08T13:48:00,2025-05-08T13:55:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb1.0,short_only,IDXX,2025-08-04,bmo,9.97,28.065212536291217,-0.671,-0.671,-9.1651,1,-0.5910837817063839,,2025-08-04T13:59:00,2025-08-04T14:06:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb1.0,short_only,APLD,2025-10-10,amc,80.65,38.79111900532859,-1.242,-1.242,-9.1652,1,-1.162395301452933,,2025-10-10T13:11:00,2025-10-10T13:13:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb1.0,short_only,AXON,2026-02-25,amc,34.51,27.47722260072287,1.309,0.0,9.1652,1,1.389086525159099,,2026-02-25T13:56:00,2026-02-25T14:08:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb1.0,short_only,INTC,2026-04-24,amc,2108.68,28.92403192432753,0.653,0.0,9.1651,1,0.733319264858223,,2026-04-24T13:01:00,2026-04-24T13:21:00,,,Counter-signal exit,
short_only_tight_sexitrebound_sreb1.0,short_only,STX,2026-04-29,amc,16.56,22.28070175438597,0.146,0.0,9.1651,1,0.2257336343115124,,2026-04-29T13:02:00,2026-04-29T13:23:00,,,Counter-signal exit,
short_only_tight_sexitema_turn_sreb0.5,short_only,MU,2024-09-26,amc,5.88,20.779083306869907,-0.905,-0.905,-9.1651,1,-0.8246488445854199,,2024-09-26T13:35:00,2024-09-26T13:38:00,,,Counter-signal exit,
short_only_tight_sexitema_turn_sreb0.5,short_only,RBLX,2024-10-31,bmo,4.3,24.64504213321021,0.441,0.0,9.1651,1,0.5205205205205308,,2024-10-31T13:30:00,2024-10-31T13:35:00,,,Counter-signal exit,
short_only_tight_sexitema_turn_sreb0.5,short_only,TEAM,2024-11-01,amc,19.01,23.28608315329081,1.705,0.0,9.1652,1,1.78460445707182,,2024-11-01T13:28:00,2024-11-01T13:39:00,,,Counter-signal exit,
short_only_tight_sexitema_turn_sreb0.5,short_only,APP,2025-05-08,amc,21.79,20.761087943813216,-1.063,-1.063,-9.1651,1,-0.9827078412504022,,2025-05-08T13:48:00,2025-05-08T13:51:00,,,Counter-signal exit,
short_only_tight_sexitema_turn_sreb0.5,short_only,IDXX,2025-08-04,bmo,9.97,28.065212536291217,-0.671,-0.671,-9.1651,1,-0.5910837817063839,,2025-08-04T13:59:00,2025-08-04T14:06:00,,,Counter-signal exit,
short_only_tight_sexitema_turn_sreb0.5,short_only,APLD,2025-10-10,amc,80.65,38.79111900532859,-1.242,-1.242,-9.1652,1,-1.162395301452933,,2025-10-10T13:11:00,2025-10-10T13:13:00,,,Counter-signal exit,
short_only_tight_sexitema_turn_sreb0.5,short_only,AXON,2026-02-25,amc,34.51,27.47722260072287,1.705,0.0,9.1652,1,1.7846555199810328,,2026-02-25T13:56:00,2026-02-25T14:07:00,,,Counter-signal exit,
short_only_tight_sexitema_turn_sreb0.5,short_only,INTC,2026-04-24,amc,2108.68,28.92403192432753,0.653,0.0,9.1651,1,0.733319264858223,,2026-04-24T13:01:00,2026-04-24T13:21:00,,,Counter-signal exit,
short_only_tight_sexitema_turn_sreb0.5,short_only,STX,2026-04-29,amc,16.56,22.28070175438597,-0.456,-0.456,-9.1651,1,-0.3762227238525207,,2026-04-29T13:02:00,2026-04-29T13:09:00,,,Counter-signal exit,
short_only_tight_sexitema_turn_sreb1.0,short_only,MU,2024-09-26,amc,5.88,20.779083306869907,-1.041,-1.041,-9.1651,1,-0.9605799728137765,,2024-09-26T13:35:00,2024-09-26T13:43:00,,,Counter-signal exit,
