label,leverage,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,score,params
shock_rebound_sl_pct=0.8,5.0,536.333,-8.434,4.1842,65,575.9702,"{'intraday_pullback_rsi_trigger': 85.0, 'shock_reversal_tp_pct': 1.6, 'shock_reversal_trail_pct': 0.4, 'cascade_breakdown_tp_pct': 0.8, 'shock_rebound_tp_pct': 2.2, 'shock_rebound_trail_pct': 1.3, 'spike_momentum_max': 6, 'shock_rebound_sl_pct': 0.8}"
spike_momentum_max=5,5.0,536.333,-8.434,4.1842,65,575.9702,"{'intraday_pullback_rsi_trigger': 85.0, 'shock_reversal_tp_pct': 1.6, 'shock_reversal_trail_pct': 0.4, 'cascade_breakdown_tp_pct': 0.8, 'shock_rebound_tp_pct': 2.2, 'shock_rebound_trail_pct': 1.3, 'spike_momentum_max': 5, 'shock_rebound_sl_pct': 0.8}"
spike_momo_sl_pct=1.2,5.0,536.333,-8.434,4.1842,65,575.9702,"{'intraday_pullback_rsi_trigger': 85.0, 'shock_reversal_tp_pct': 1.6, 'shock_reversal_trail_pct': 0.4, 'cascade_breakdown_tp_pct': 0.8, 'shock_rebound_tp_pct': 2.2, 'shock_rebound_trail_pct': 1.3, 'spike_momentum_max': 6, 'shock_rebound_sl_pct': 0.8, 'spike_momo_sl_pct': 1.2}"
spike_momo_trail_pct=3.0,5.0,536.333,-8.434,4.1842,65,575.9702,"{'intraday_pullback_rsi_trigger': 85.0, 'shock_reversal_tp_pct': 1.6, 'shock_reversal_trail_pct': 0.4, 'cascade_breakdown_tp_pct': 0.8, 'shock_rebound_tp_pct': 2.2, 'shock_rebound_trail_pct': 1.3, 'spike_momentum_max': 6, 'shock_rebound_sl_pct': 0.8, 'spike_momo_trail_pct': 3.0}"
intraday_pullback_sl_pct=0.6,5.0,536.333,-8.434,4.1842,65,575.9702,"{'intraday_pullback_rsi_trigger': 85.0, 'shock_reversal_tp_pct': 1.6, 'shock_reversal_trail_pct': 0.4, 'cascade_breakdown_tp_pct': 0.8, 'shock_rebound_tp_pct': 2.2, 'shock_rebound_trail_pct': 1.3, 'spike_momentum_max': 6, 'shock_rebound_sl_pct': 0.8, 'intraday_pullback_sl_pct': 0.6}"
intraday_pullback_sl_pct=0.8,5.0,536.333,-8.434,4.1842,65,575.9702,"{'intraday_pullback_rsi_trigger': 85.0, 'shock_reversal_tp_pct': 1.6, 'shock_reversal_trail_pct': 0.4, 'cascade_breakdown_tp_pct': 0.8, 'shock_rebound_tp_pct': 2.2, 'shock_rebound_trail_pct': 1.3, 'spike_momentum_max': 6, 'shock_rebound_sl_pct': 0.8, 'intraday_pullback_sl_pct': 0.8}"
intraday_pullback_sl_pct=1.0,5.0,536.333,-8.434,4.1842,65,575.9702,"{'intraday_pullback_rsi_trigger': 85.0, 'shock_reversal_tp_pct': 1.6, 'shock_reversal_trail_pct': 0.4, 'cascade_breakdown_tp_pct': 0.8, 'shock_rebound_tp_pct': 2.2, 'shock_rebound_trail_pct': 1.3, 'spike_momentum_max': 6, 'shock_rebound_sl_pct': 0.8, 'intraday_pullback_sl_pct': 1.0}"
intraday_pullback_tp_pct=1.2,5.0,536.333,-8.434,4.1842,65,575.9702,"{'intraday_pullback_rsi_trigger': 85.0, 'shock_reversal_tp_pct': 1.6, 'shock_reversal_trail_pct': 0.4, 'cascade_breakdown_tp_pct': 0.8, 'shock_rebound_tp_pct': 2.2, 'shock_rebound_trail_pct': 1.3, 'spike_momentum_max': 6, 'shock_rebound_sl_pct': 0.8, 'intraday_pullback_tp_pct': 1.2}"
intraday_pullback_trail_pct=0.6,5.0,536.333,-8.434,4.1842,65,575.9702,"{'intraday_pullback_rsi_trigger': 85.0, 'shock_reversal_tp_pct': 1.6, 'shock_reversal_trail_pct': 0.4, 'cascade_breakdown_tp_pct': 0.8, 'shock_rebound_tp_pct': 2.2, 'shock_rebound_trail_pct': 1.3, 'spike_momentum_max': 6, 'shock_rebound_sl_pct': 0.8, 'intraday_pullback_trail_pct': 0.6}"
shock_reversal_sl_pct=0.6,5.0,536.333,-8.434,4.1842,65,575.9702,"{'intraday_pullback_rsi_trigger': 85.0, 'shock_reversal_tp_pct': 1.6, 'shock_reversal_trail_pct': 0.4, 'cascade_breakdown_tp_pct': 0.8, 'shock_rebound_tp_pct': 2.2, 'shock_rebound_trail_pct': 1.3, 'spike_momentum_max': 6, 'shock_rebound_sl_pct': 0.8, 'shock_reversal_sl_pct': 0.6}"
