symbol,direction,regime,entry_time_et,exit_time_et,entry_date_et,entry_weekday,entry_bucket_30m,entry_hour_et,leveraged_return_pct,pnl,hold_minutes,outcome,win
GLD,Long,shock_rebound_long,2024-04-05 08:05:00-04:00,2024-04-08 04:00:00-04:00,2024-04-05,Friday,08:00,8,1.8000000000000052,17.200000000000053,4075.0,TP hit,1.0
GLD,Long,spike_momentum_long,2024-04-08 08:16:00-04:00,2024-04-12 13:18:00-04:00,2024-04-08,Monday,08:00,8,0.9652254335260111,8.85225433526011,6062.0,Trail stop,1.0
GLD,Short,intraday_pullback_short,2024-04-22 08:03:00-04:00,2024-04-22 08:06:00-04:00,2024-04-22,Monday,08:00,8,-0.6000000000000038,-5.892880000000032,3.0,Trail stop,0.0
GLD,Long,shock_rebound_long,2024-05-01 18:57:00-04:00,2024-05-02 05:30:00-04:00,2024-05-01,Wednesday,18:30,18,-0.8400428165867766,-9.200428165867766,633.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2024-05-09 10:14:00-04:00,2024-05-22 14:41:00-04:00,2024-05-09,Thursday,10:00,10,1.8192341528915932,17.39234152891593,18987.0,Trail stop,1.0
GLD,Long,shock_rebound_long,2024-05-23 08:04:00-04:00,2024-05-23 10:17:00-04:00,2024-05-23,Thursday,08:00,8,-0.9000000000000045,-9.800000000000045,133.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2024-06-06 11:21:00-04:00,2024-06-07 05:12:00-04:00,2024-06-06,Thursday,11:00,11,-1.2000000000000055,-12.800000000000056,1071.0,Trail stop,0.0
GLD,Short,shock_reversal_short,2024-06-07 08:02:00-04:00,2024-06-07 08:03:00-04:00,2024-06-07,Friday,08:00,8,-0.8000000000000002,-7.602897280000002,1.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2024-06-10 04:00:00-04:00,2024-06-26 09:29:00-04:00,2024-06-10,Monday,04:00,4,0.0,-0.7985187123346467,23369.0,Trail stop,0.0
GLD,Long,shock_rebound_long,2024-07-03 08:03:00-04:00,2024-07-05 11:33:00-04:00,2024-07-03,Wednesday,08:00,8,1.8000000000000023,17.15441779334277,3090.0,TP hit,1.0
GLD,Long,spike_momentum_long,2024-07-08 10:09:00-04:00,2024-07-09 11:21:00-04:00,2024-07-08,Monday,10:00,10,-1.1999999999999984,-12.799999999999985,1512.0,Trail stop,0.0
GLD,Long,shock_rebound_long,2024-07-16 08:03:00-04:00,2024-07-17 10:00:00-04:00,2024-07-16,Tuesday,08:00,8,1.7999999999999998,17.199999999999996,1557.0,TP hit,1.0
GLD,Long,spike_momentum_long,2024-07-31 09:55:00-04:00,2024-08-05 07:21:00-04:00,2024-07-31,Wednesday,09:30,9,-1.016262155174485,-10.962621551744851,7046.0,Trail stop,0.0
GLD,Short,shock_reversal_short,2024-08-05 08:02:00-04:00,2024-08-05 09:01:00-04:00,2024-08-05,Monday,08:00,8,0.41155901802699124,2.928063999999965,59.0,Trail stop,1.0
