variant,trades,long_trades,short_trades,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,max_drawdown_pct,sharpe_ratio,basket,entry_time,exit_time,threshold_pct,breadth_min
median_entry0930_exit1600_thr20_none,20,10,10,65.0,0.1374749178739832,0.4217139040939977,2.6449168867229256,-5.158057572643971,0.513837871691698,median,09:30,1600,0.2,
median_entry0930_exit1600_thr15_none,21,11,10,61.904761904761905,0.11682988029685226,0.4145637241433376,2.3410151870068896,-5.4388569378950535,0.45757787962319524,median,09:30,1600,0.15,
ew_entry0930_exit1600_thr25_none,13,10,3,69.23076923076923,0.16951185660496781,0.42886408404465787,2.1448552461343917,-3.919893356331261,0.5330284938708343,ew,09:30,1600,0.25,
ew_entry0930_exit1600_thr15_none,21,15,6,61.904761904761905,0.10025726306917175,0.42886408404465787,1.9478508821788587,-7.990415915887938,0.34886312696521504,ew,09:30,1600,0.15,
median_entry0929_exit1600_thr20_none,20,10,10,65.0,0.09828195760260065,0.37988034417074446,1.846977736512856,-5.191659404466242,0.37084178044568394,median,09:29,1600,0.2,
ew_entry0929_exit1600_thr25_none,13,10,3,69.23076923076923,0.13472714286487875,0.3970291341813682,1.6861543108798172,-3.938988101616814,0.4276109318504666,ew,09:29,1600,0.25,
median_entry0929_exit1600_thr15_none,21,11,10,61.904761904761905,0.08125173435520427,0.3627315541601207,1.5828348187270302,-5.437547424630395,0.3215818745775532,median,09:29,1600,0.15,
median_entry0930_exit1600_thr40_none,9,5,4,55.55555555555556,0.15659562898545254,0.4145637241433376,1.3985816890472513,-1.7957288326630017,0.6748809940665259,median,09:30,1600,0.4,
ew_entry0929_exit1600_thr15_none,21,15,6,61.904761904761905,0.06390666276386259,0.3970291341813682,1.1780817141809008,-8.020228773517335,0.22554265235314064,ew,09:29,1600,0.15,
median_entry0929_exit1600_thr40_none,9,5,4,55.55555555555556,0.11560643740980275,0.3627315541601207,1.0260615757997193,-1.8600068996397545,0.5029014696026305,median,09:29,1600,0.4,
median_entry0930_exit1600_thr50_none,4,2,2,75.0,0.1440964742362628,0.4217139040939977,0.5710304645347275,-0.8415960210493623,0.4359345925786899,median,09:30,1600,0.5,
ew_entry0930_exit1100_thr30_b55,3,2,1,100.0,0.17614795240127923,0.09092982801131251,0.5289520594934816,0.0,1.4838876973954154,ew,09:30,1100,0.3,0.55
ew_entry0930_exit1100_thr30_b60,3,2,1,100.0,0.17614795240127923,0.09092982801131251,0.5289520594934816,0.0,1.4838876973954154,ew,09:30,1100,0.3,0.6
ew_entry0930_exit1100_thr40_b55,2,1,1,100.0,0.25079588980408635,0.25079588980408635,0.5019651938144687,0.0,1.5687875649878718,ew,09:30,1100,0.4,0.55
ew_entry0930_exit1100_thr40_b60,2,1,1,100.0,0.25079588980408635,0.25079588980408635,0.5019651938144687,0.0,1.5687875649878718,ew,09:30,1100,0.4,0.6
ew_entry0929_exit1100_thr40_b55,2,1,1,100.0,0.2383007248496084,0.2383007248496084,0.4768567342027463,0.0,1.3478430261327232,ew,09:29,1100,0.4,0.55
ew_entry0929_exit1100_thr40_b60,2,1,1,100.0,0.2383007248496084,0.2383007248496084,0.4768567342027463,0.0,1.3478430261327232,ew,09:29,1100,0.4,0.6
ew_entry0929_exit1100_thr30_b55,3,2,1,66.66666666666666,0.15599114404016634,0.06149918325366388,0.4681875733411722,-0.008628017578715674,1.1896128472937524,ew,09:29,1100,0.3,0.55
ew_entry0929_exit1100_thr30_b60,3,2,1,66.66666666666666,0.15599114404016634,0.06149918325366388,0.4681875733411722,-0.008628017578715674,1.1896128472937524,ew,09:29,1100,0.3,0.6
ew_entry0929_exit1100_thr50_b55,1,1,0,100.0,0.4151022664455529,0.4151022664455529,0.41510226644554393,0.0,0.0,ew,09:29,1100,0.5,0.55
ew_entry0929_exit1100_thr50_b60,1,1,0,100.0,0.4151022664455529,0.4151022664455529,0.41510226644554393,0.0,0.0,ew,09:29,1100,0.5,0.6
ew_entry0930_exit1100_thr50_b55,1,1,0,100.0,0.4106619515968602,0.4106619515968602,0.410661951596869,0.0,0.0,ew,09:30,1100,0.5,0.55
ew_entry0930_exit1100_thr50_b60,1,1,0,100.0,0.4106619515968602,0.4106619515968602,0.410661951596869,0.0,0.0,ew,09:30,1100,0.5,0.6
median_entry0929_exit1600_thr50_none,4,2,2,75.0,0.10262883497815856,0.37988034417074446,0.4045366829467767,-0.8837994582352682,0.31015208420595497,median,09:29,1600,0.5,
ew_entry0930_exit1100_thr25_b60,4,3,1,75.0,0.07614424133854886,0.05889095280348873,0.30390101910888756,-0.22386689184964448,0.5832038708896603,ew,09:30,1100,0.25,0.6
ew_entry0930_exit1100_thr25_b55,5,4,1,60.0,0.05825660985044895,0.02685207759566495,0.29056670266041085,-0.22386689184964448,0.5672360115229815,ew,09:30,1100,0.25,0.55
ew_entry0929_exit1100_thr25_b60,4,3,1,50.0,0.051377982196035954,0.02643558283747305,0.20449725786140238,-0.27106687569042887,0.3675378272652603,ew,09:29,1100,0.25,0.6
ew_entry0929_exit1100_thr25_b55,5,4,1,40.0,0.02923002920411044,-0.008628017578717784,0.1450140818798351,-0.27106687569042887,0.2644713468203972,ew,09:29,1100,0.25,0.55
ew_entry0930_exit1600_thr10_none,25,17,8,56.00000000000001,0.013181840156645992,0.4145637241433376,0.12659015701814713,-7.679239034189833,0.05091060831933876,ew,09:30,1600,0.1,
ew_entry0929_exit1000_thr50_b55,1,1,0,100.0,0.04583747927032544,0.04583747927032544,0.04583747927031645,0.0,0.0,ew,09:29,1000,0.5,0.55
ew_entry0929_exit1000_thr50_b60,1,1,0,100.0,0.04583747927032544,0.04583747927032544,0.04583747927031645,0.0,0.0,ew,09:29,1000,0.5,0.6
ew_entry0930_exit1000_thr50_b55,1,1,0,100.0,0.04156039341364444,0.04156039341364444,0.04156039341365325,0.0,0.0,ew,09:30,1000,0.5,0.55
ew_entry0930_exit1000_thr50_b60,1,1,0,100.0,0.04156039341364444,0.04156039341364444,0.04156039341365325,0.0,0.0,ew,09:30,1000,0.5,0.6
ew_entry0930_exit0945_thr40_b55,2,1,1,50.0,0.004355841052896617,0.004355841052896617,0.008678424617181157,-0.053477732346107754,0.07531682372183796,ew,09:30,0945,0.4,0.55
