Ticker,Managed Contribution PnL,Managed Normalized Return %
APLD,249.83925,24.983925
ARM,3.939425,0.393942
AVGO,36.89092,3.689092
AXON,10.896512,1.089651
CHTR,0.0,0.0
IDXX,0.0,0.0
INTC,0.0,0.0
MNST,0.0,0.0
MRVL,220.874328,22.087433
MSTR,344.63616,34.463616
PDD,43.708575,4.370857
PYPL,12.449,1.2449
WBD,0.0,0.0
ZS,0.0,0.0
GLD,1752.897026,175.289703
UVXY,467.072097,46.70721
USO,546.588115,54.658811
SPY,195.288304,19.52883
QQQ,0.0,0.0
IWM,59.439193,5.943919
RBLX,0.0,0.0
SNPS,304.417312,30.441731
STX,0.0,0.0
TSLA,143.447518,14.344752
VXX,27.187205,2.71872
VXZ,-169.570217,-16.957022
XLF,76.8,7.68
DASH,0.0,0.0
DDOG,0.0,0.0
FTNT,0.0,0.0
UUP,326.695922,32.669592
SLV,2484.189401,248.41894
XLE,307.062975,30.706297
