Ticker,Strategy,standalone_25k_trades,standalone_25k_pnl,standalone_25k_return_pct,managed_25k_trades,managed_25k_pnl,managed_25k_capture_vs_standalone_25k_pct,managed_5k_trades,managed_5k_pnl
UVXY,Bollinger + RSI (Spike-Aware),462,1212.655488080879,4.851,497.0,1390.769235872402,114.68791009006209,74.0,50.482426627855446
GLD,Bollinger + RSI (Spike-Aware),74,928.3681320687629,3.713,76.0,824.3531755365941,88.79593633827312,39.0,667.1652849734317
VXX,Bollinger + RSI (Spike-Aware),140,522.5311728226591,2.09,141.0,845.2521195021291,161.7610897616242,24.0,61.86904842727526
QQQ,Bollinger + RSI (Spike-Aware),14,276.006426338806,1.104,14.0,276.006426338806,100.0,0.0,0.0
USO,Bollinger + RSI (Spike-Aware),24,212.36239868521605,0.849,25.0,235.18656699057922,110.74774463213488,8.0,106.088403665906
SPY,Bollinger + RSI (Spike-Aware),12,208.64210907777596,0.835,13.0,307.6640767223304,147.46020258434112,1.0,99.02196764455438
VXZ,Bollinger + RSI (Spike-Aware),14,160.83401356548973,0.643,14.0,160.83401356548973,100.0,2.0,-42.39255421224331
SNPS,Earnings Event Hybrid (Research),1,152.2086559999999,0.609,1.0,152.2086559999999,100.0,1.0,152.2086559999999
STX,Earnings Event Hybrid (Research),1,109.08870954039604,0.436,1.0,109.08870954039604,100.0,0.0,0.0
MRVL,Earnings Event Hybrid (Research),2,90.8294038100569,0.363,2.0,90.8294038100569,100.0,2.0,90.8294038100569
FTNT,Earnings Event Hybrid (Research),1,84.97599506325214,0.34,1.0,84.97599506325214,100.0,0.0,0.0
MSTR,Earnings Event Hybrid (Research),1,83.54815999999992,0.334,1.0,83.54815999999992,100.0,1.0,83.54815999999992
TSLA,Earnings Event Hybrid (Research),1,71.72375923970428,0.287,1.0,71.72375923970428,100.0,1.0,71.72375923970428
RBLX,Earnings Event Hybrid (Research),2,64.41817032569367,0.258,2.0,64.41817032569367,100.0,1.0,23.800800000000084
APLD,Earnings Event Hybrid (Research),3,62.604973719999755,0.25,3.0,62.604973719999755,100.0,3.0,62.604973719999755
DDOG,Earnings Event Hybrid (Research),1,57.99072,0.232,1.0,57.99072,100.0,0.0,0.0
XLF,Bollinger + RSI (Spike-Aware),4,48.76140799999992,0.195,4.0,48.76140799999992,100.0,1.0,19.200000000000028
ZS,Earnings Event Hybrid (Research),1,42.78416000000011,0.171,1.0,42.78416000000011,100.0,0.0,0.0
CHTR,Earnings Event Hybrid (Research),1,28.785662155295856,0.115,1.0,28.785662155295856,100.0,0.0,0.0
MNST,Earnings Event Hybrid (Research),1,25.997159999999965,0.104,1.0,25.997159999999965,100.0,0.0,0.0
DASH,Earnings Event Hybrid (Research),1,24.071355060034357,0.096,1.0,24.071355060034357,100.0,0.0,0.0
PYPL,Earnings Event Hybrid (Research),2,19.71205011138389,0.079,3.0,43.797474111383785,222.1862965237205,1.0,5.975520000000026
IWM,Bollinger + RSI (Spike-Aware),3,17.95425248781841,0.072,3.0,17.95425248781841,100.0,2.0,19.648177599412875
AVGO,Earnings Event Hybrid (Research),1,14.756367999999954,0.059,1.0,14.756367999999954,100.0,1.0,14.756367999999954
IDXX,Earnings Event Hybrid (Research),2,11.466068880047528,0.046,2.0,11.466068880047528,100.0,0.0,0.0
WBD,Earnings Event Hybrid (Research),1,7.833093525179801,0.031,1.0,7.833093525179801,100.0,0.0,0.0
AXON,Earnings Event Hybrid (Research),3,3.3959612339687197,0.014,3.0,3.395961233968718,99.99999999999994,2.0,-5.214783999999998
PDD,Earnings Event Hybrid (Research),2,2.5279317923501132,0.01,2.0,2.5279317923501132,100.0,1.0,10.927143725927392
ARM,Earnings Event Hybrid (Research),1,0.9848561817808701,0.004,1.0,0.9848561817808701,100.0,1.0,0.98485618178087
QCOM,Earnings Event Hybrid (Research),0,0.0,0.0,0.0,0.0,,0.0,0.0
INTC,Earnings Event Hybrid (Research),0,0.0,0.0,0.0,0.0,,0.0,0.0
NXPI,Earnings Event Hybrid (Research),0,0.0,0.0,0.0,0.0,,0.0,0.0
TXN,Earnings Event Hybrid (Research),0,0.0,0.0,0.0,0.0,,0.0,0.0
CPRT,Earnings Event Hybrid (Research),1,-2.2513788098695,-0.009,1.0,-2.2513788098695,100.0,0.0,0.0
ABNB,Earnings Event Hybrid (Research),1,-2.5667844522968446,-0.01,1.0,-2.5667844522968446,100.0,0.0,0.0
TEAM,Earnings Event Hybrid (Research),3,-6.993974441398251,-0.028,3.0,-6.993974441398251,100.0,0.0,0.0
