Ticker,Strategy,standalone_trades,standalone_pnl,standalone_return_pct,managed_5k_trades,managed_5k_pnl,managed_25k_trades,managed_25k_pnl,capture_5k_vs_standalone_pct,capture_25k_vs_standalone_pct
GLD,Bollinger + RSI (Spike-Aware),55,944.0017629178702,18.88,39.0,667.1652849734317,76.0,824.3531755365941,70.67415667861164,87.32538517603534
QQQ,Bollinger + RSI (Spike-Aware),14,276.006426338806,5.52,0.0,0.0,14.0,276.006426338806,0.0,100.0
SPY,Bollinger + RSI (Spike-Aware),12,208.642109077776,4.173,1.0,99.02196764455438,13.0,307.6640767223304,47.460202584341076,147.46020258434106
UVXY,Bollinger + RSI (Spike-Aware),104,196.59486822109423,3.932,74.0,50.482426627855446,497.0,1390.769235872402,25.678405079771448,707.4290638697228
USO,Bollinger + RSI (Spike-Aware),17,195.86440164134495,3.917,8.0,106.088403665906,25.0,235.18656699057922,54.16420890007806,120.07621855718256
VXX,Bollinger + RSI (Spike-Aware),68,187.99476849670785,3.76,24.0,61.86904842727526,141.0,845.2521195021291,32.90998410328568,449.6147027181403
VXZ,Bollinger + RSI (Spike-Aware),14,160.83401356548973,3.217,2.0,-42.39255421224331,14.0,160.83401356548973,-26.35795331625021,100.0
SNPS,Earnings Event Hybrid (Research),1,152.2086559999999,3.044,1.0,152.2086559999999,1.0,152.2086559999999,100.0,100.0
STX,Earnings Event Hybrid (Research),1,109.08870954039604,2.182,0.0,0.0,1.0,109.08870954039604,0.0,100.0
MRVL,Earnings Event Hybrid (Research),2,90.8294038100569,1.817,2.0,90.8294038100569,2.0,90.8294038100569,100.0,100.0
FTNT,Earnings Event Hybrid (Research),1,84.97599506325214,1.7,0.0,0.0,1.0,84.97599506325214,0.0,100.0
MSTR,Earnings Event Hybrid (Research),1,83.54815999999992,1.671,1.0,83.54815999999992,1.0,83.54815999999992,100.0,100.0
TSLA,Earnings Event Hybrid (Research),1,71.72375923970428,1.434,1.0,71.72375923970428,1.0,71.72375923970428,100.0,100.0
RBLX,Earnings Event Hybrid (Research),2,64.41817032569367,1.288,1.0,23.800800000000084,2.0,64.41817032569367,36.94733936040863,100.0
APLD,Earnings Event Hybrid (Research),3,62.60497371999976,1.252,3.0,62.604973719999755,3.0,62.604973719999755,99.99999999999999,99.99999999999999
DDOG,Earnings Event Hybrid (Research),1,57.99072,1.16,0.0,0.0,1.0,57.99072,0.0,100.0
XLF,Bollinger + RSI (Spike-Aware),4,48.76140799999992,0.975,1.0,19.200000000000028,4.0,48.76140799999992,39.37540113689921,100.0
ZS,Earnings Event Hybrid (Research),1,42.78416000000011,0.856,0.0,0.0,1.0,42.78416000000011,0.0,100.0
CHTR,Earnings Event Hybrid (Research),1,28.785662155295856,0.576,0.0,0.0,1.0,28.785662155295856,0.0,100.0
MNST,Earnings Event Hybrid (Research),1,25.997159999999965,0.52,0.0,0.0,1.0,25.997159999999965,0.0,100.0
DASH,Earnings Event Hybrid (Research),1,24.07135506003436,0.481,0.0,0.0,1.0,24.071355060034357,0.0,99.99999999999999
PYPL,Earnings Event Hybrid (Research),2,19.71205011138389,0.394,1.0,5.975520000000026,3.0,43.797474111383785,30.314046312966248,222.1862965237205
IWM,Bollinger + RSI (Spike-Aware),3,17.95425248781841,0.359,2.0,19.648177599412875,3.0,17.95425248781841,109.43467355571477,100.0
AVGO,Earnings Event Hybrid (Research),1,14.756367999999954,0.295,1.0,14.756367999999954,1.0,14.756367999999954,100.0,100.0
IDXX,Earnings Event Hybrid (Research),2,11.466068880047528,0.229,0.0,0.0,2.0,11.466068880047528,0.0,100.0
WBD,Earnings Event Hybrid (Research),1,7.833093525179801,0.157,0.0,0.0,1.0,7.833093525179801,0.0,100.0
AXON,Earnings Event Hybrid (Research),3,3.39596123396872,0.068,2.0,-5.214783999999998,3.0,3.395961233968718,-153.5584077885864,99.99999999999993
PDD,Earnings Event Hybrid (Research),2,2.527931792350113,0.051,1.0,10.927143725927392,2.0,2.5279317923501132,432.25627206376805,100.00000000000003
ARM,Earnings Event Hybrid (Research),1,0.98485618178087,0.02,1.0,0.98485618178087,1.0,0.9848561817808701,100.0,100.00000000000003
QCOM,Earnings Event Hybrid (Research),0,0.0,0.0,0.0,0.0,0.0,0.0,,
INTC,Earnings Event Hybrid (Research),0,0.0,0.0,0.0,0.0,0.0,0.0,,
NXPI,Earnings Event Hybrid (Research),0,0.0,0.0,0.0,0.0,0.0,0.0,,
TXN,Earnings Event Hybrid (Research),0,0.0,0.0,0.0,0.0,0.0,0.0,,
CPRT,Earnings Event Hybrid (Research),1,-2.2513788098695,-0.045,0.0,0.0,1.0,-2.2513788098695,-0.0,100.0
ABNB,Earnings Event Hybrid (Research),1,-2.5667844522968446,-0.051,0.0,0.0,1.0,-2.5667844522968446,-0.0,100.0
TEAM,Earnings Event Hybrid (Research),3,-6.993974441398251,-0.14,0.0,0.0,3.0,-6.993974441398251,-0.0,100.0
