Ticker,Strategy,initial_value_per_ticker,standalone_25k_trades,standalone_25k_pnl,standalone_25k_end_value_per_1000,standalone_25k_return_pct_per_1000,managed_25k_trades,managed_25k_pnl,managed_25k_end_value_per_1000,managed_25k_return_pct_per_1000,managed_25k_capture_vs_standalone_25k_pct,managed_5k_trades,managed_5k_pnl,managed_5k_end_value_per_1000,managed_5k_return_pct_per_1000
UVXY,Bollinger + RSI (Spike-Aware),1000.0,462,1212.655488080879,2212.655488080879,121.26554880808789,497.0,1390.769235872402,2390.769235872402,139.0769235872402,114.68791009006208,74.0,50.482426627855446,1050.4824266278554,5.048242662785545
GLD,Bollinger + RSI (Spike-Aware),1000.0,74,928.3681320687627,1928.3681320687629,92.83681320687627,76.0,824.3531755365941,1824.353175536594,82.43531755365942,88.79593633827312,39.0,667.1652849734317,1667.1652849734317,66.71652849734316
VXX,Bollinger + RSI (Spike-Aware),1000.0,140,522.5311728226591,1522.531172822659,52.253117282265904,141.0,845.2521195021291,1845.252119502129,84.5252119502129,161.7610897616242,24.0,61.86904842727526,1061.8690484272752,6.186904842727526
QQQ,Bollinger + RSI (Spike-Aware),1000.0,14,276.006426338806,1276.006426338806,27.6006426338806,14.0,276.006426338806,1276.006426338806,27.6006426338806,100.0,0.0,0.0,1000.0,0.0
USO,Bollinger + RSI (Spike-Aware),1000.0,24,212.36239868521605,1212.362398685216,21.236239868521604,25.0,235.1865669905792,1235.1865669905792,23.518656699057917,110.74774463213488,8.0,106.088403665906,1106.088403665906,10.608840366590599
SPY,Bollinger + RSI (Spike-Aware),1000.0,12,208.642109077776,1208.642109077776,20.8642109077776,13.0,307.6640767223304,1307.6640767223303,30.766407672233036,147.46020258434112,1.0,99.02196764455438,1099.0219676445545,9.902196764455438
VXZ,Bollinger + RSI (Spike-Aware),1000.0,14,160.83401356548973,1160.8340135654898,16.083401356548972,14.0,160.83401356548973,1160.8340135654898,16.083401356548972,100.0,2.0,-42.39255421224331,957.6074457877567,-4.239255421224331
SNPS,Earnings Event Hybrid (Research),1000.0,1,152.2086559999999,1152.2086559999998,15.220865599999991,1.0,152.2086559999999,1152.2086559999998,15.220865599999991,100.0,1.0,152.2086559999999,1152.2086559999998,15.220865599999991
STX,Earnings Event Hybrid (Research),1000.0,1,109.08870954039604,1109.088709540396,10.908870954039603,1.0,109.08870954039604,1109.088709540396,10.908870954039603,100.0,0.0,0.0,1000.0,0.0
MRVL,Earnings Event Hybrid (Research),1000.0,2,90.8294038100569,1090.8294038100569,9.08294038100569,2.0,90.8294038100569,1090.8294038100569,9.08294038100569,100.0,2.0,90.8294038100569,1090.8294038100569,9.08294038100569
FTNT,Earnings Event Hybrid (Research),1000.0,1,84.97599506325214,1084.9759950632522,8.497599506325214,1.0,84.97599506325214,1084.9759950632522,8.497599506325214,100.0,0.0,0.0,1000.0,0.0
MSTR,Earnings Event Hybrid (Research),1000.0,1,83.54815999999992,1083.5481599999998,8.354815999999992,1.0,83.54815999999992,1083.5481599999998,8.354815999999992,100.0,1.0,83.54815999999992,1083.5481599999998,8.354815999999992
TSLA,Earnings Event Hybrid (Research),1000.0,1,71.72375923970428,1071.7237592397043,7.172375923970428,1.0,71.72375923970428,1071.7237592397043,7.172375923970428,100.0,1.0,71.72375923970428,1071.7237592397043,7.172375923970428
RBLX,Earnings Event Hybrid (Research),1000.0,2,64.41817032569367,1064.4181703256936,6.441817032569366,2.0,64.41817032569367,1064.4181703256936,6.441817032569366,100.0,1.0,23.800800000000084,1023.8008000000001,2.3800800000000084
APLD,Earnings Event Hybrid (Research),1000.0,3,62.60497371999976,1062.6049737199999,6.260497371999977,3.0,62.60497371999976,1062.6049737199999,6.260497371999977,100.0,3.0,62.60497371999976,1062.6049737199999,6.260497371999977
DDOG,Earnings Event Hybrid (Research),1000.0,1,57.99072,1057.99072,5.799072000000001,1.0,57.99072,1057.99072,5.799072000000001,100.0,0.0,0.0,1000.0,0.0
XLF,Bollinger + RSI (Spike-Aware),1000.0,4,48.76140799999992,1048.7614079999998,4.876140799999992,4.0,48.76140799999992,1048.7614079999998,4.876140799999992,100.0,1.0,19.200000000000028,1019.2,1.9200000000000026
ZS,Earnings Event Hybrid (Research),1000.0,1,42.78416000000011,1042.7841600000002,4.278416000000011,1.0,42.78416000000011,1042.7841600000002,4.278416000000011,100.0,0.0,0.0,1000.0,0.0
CHTR,Earnings Event Hybrid (Research),1000.0,1,28.785662155295856,1028.7856621552958,2.8785662155295855,1.0,28.785662155295856,1028.7856621552958,2.8785662155295855,100.0,0.0,0.0,1000.0,0.0
MNST,Earnings Event Hybrid (Research),1000.0,1,25.997159999999965,1025.99716,2.599715999999997,1.0,25.997159999999965,1025.99716,2.599715999999997,100.0,0.0,0.0,1000.0,0.0
DASH,Earnings Event Hybrid (Research),1000.0,1,24.07135506003436,1024.0713550600344,2.407135506003436,1.0,24.07135506003436,1024.0713550600344,2.407135506003436,100.0,0.0,0.0,1000.0,0.0
PYPL,Earnings Event Hybrid (Research),1000.0,2,19.71205011138389,1019.7120501113839,1.971205011138389,3.0,43.797474111383785,1043.7974741113837,4.3797474111383785,222.1862965237205,1.0,5.975520000000026,1005.9755200000001,0.5975520000000025
IWM,Bollinger + RSI (Spike-Aware),1000.0,3,17.95425248781841,1017.9542524878184,1.7954252487818412,3.0,17.95425248781841,1017.9542524878184,1.7954252487818412,100.0,2.0,19.648177599412875,1019.6481775994129,1.9648177599412877
AVGO,Earnings Event Hybrid (Research),1000.0,1,14.756367999999954,1014.756368,1.4756367999999953,1.0,14.756367999999954,1014.756368,1.4756367999999953,100.0,1.0,14.756367999999954,1014.756368,1.4756367999999953
IDXX,Earnings Event Hybrid (Research),1000.0,2,11.466068880047528,1011.4660688800475,1.1466068880047526,2.0,11.466068880047528,1011.4660688800475,1.1466068880047526,100.0,0.0,0.0,1000.0,0.0
WBD,Earnings Event Hybrid (Research),1000.0,1,7.833093525179801,1007.8330935251798,0.78330935251798,1.0,7.833093525179801,1007.8330935251798,0.78330935251798,100.0,0.0,0.0,1000.0,0.0
AXON,Earnings Event Hybrid (Research),1000.0,3,3.39596123396872,1003.3959612339687,0.339596123396872,3.0,3.395961233968718,1003.3959612339687,0.3395961233968718,99.99999999999994,2.0,-5.214783999999998,994.785216,-0.5214783999999998
PDD,Earnings Event Hybrid (Research),1000.0,2,2.527931792350113,1002.5279317923502,0.25279317923501127,2.0,2.527931792350113,1002.5279317923502,0.25279317923501127,100.0,1.0,10.927143725927392,1010.9271437259274,1.092714372592739
ARM,Earnings Event Hybrid (Research),1000.0,1,0.98485618178087,1000.9848561817809,0.098485618178087,1.0,0.98485618178087,1000.9848561817809,0.098485618178087,100.0,1.0,0.98485618178087,1000.9848561817809,0.098485618178087
QCOM,Earnings Event Hybrid (Research),1000.0,0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,,0.0,0.0,1000.0,0.0
INTC,Earnings Event Hybrid (Research),1000.0,0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,,0.0,0.0,1000.0,0.0
NXPI,Earnings Event Hybrid (Research),1000.0,0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,,0.0,0.0,1000.0,0.0
TXN,Earnings Event Hybrid (Research),1000.0,0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,,0.0,0.0,1000.0,0.0
CPRT,Earnings Event Hybrid (Research),1000.0,1,-2.2513788098695,997.7486211901305,-0.22513788098694998,1.0,-2.2513788098695,997.7486211901305,-0.22513788098694998,100.0,0.0,0.0,1000.0,0.0
ABNB,Earnings Event Hybrid (Research),1000.0,1,-2.5667844522968446,997.4332155477032,-0.2566784452296844,1.0,-2.5667844522968446,997.4332155477032,-0.2566784452296844,100.0,0.0,0.0,1000.0,0.0
TEAM,Earnings Event Hybrid (Research),1000.0,3,-6.993974441398251,993.0060255586018,-0.6993974441398252,3.0,-6.993974441398251,993.0060255586018,-0.6993974441398252,100.0,0.0,0.0,1000.0,0.0
