         1601449625 function calls (1571183242 primitive calls) in 556.150 seconds

   Ordered by: cumulative time
   List reduced from 1331 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    9.809    9.809  558.423  558.423 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\reporting\managed_portfolio_backtest.py:185(run)
       36    5.394    0.150  521.239   14.479 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\reporting\managed_portfolio_backtest.py:525(_prepare_symbol_state)
        9  145.888   16.210  469.349   52.150 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\strategies\bollinger_rsi_strategy.py:823(generate_signals_bulk)
 28733033   25.578    0.000  258.408    0.000 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexing.py:1177(__getitem__)
 28733032   38.086    0.000  197.217    0.000 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexing.py:1720(_getitem_axis)
262952073/262942013   38.404    0.000   85.503    0.000 {built-in method builtins.isinstance}
 28737269    8.449    0.000   60.518    0.000 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\common.py:97(is_bool_indexer)
115017092   19.502    0.000   47.097    0.000 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
 28734778   10.771    0.000   40.099    0.000 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexing.py:1668(_validate_integer)
115017092   19.312    0.000   27.593    0.000 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
       27    8.758    0.324   27.055    1.002 C:\Users\dimzo\Documents\ENTERTAINMENT\Coding\Forward_Simulation\codex\after-restart\v2\strategies\earnings_event_hybrid_strategy.py:73(generate_signals_bulk)
 29048907   11.871    0.000   20.547    0.000 C:\Users\dimzo\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexing.py:2801(check_dict_or_set_indexers)
