Ticker,Strategy,strategy_id,standalone_25k_trades,standalone_25k_pnl,standalone_25k_return_pct,standalone_25k_win_rate_pct,standalone_25k_max_drawdown_pct
UVXY,Bollinger + RSI (Spike-Aware),bollinger_rsi,462,1212.655488080879,4.851,27.9,-0.535
GLD,Bollinger + RSI (Spike-Aware),bollinger_rsi,74,928.3681320687629,3.713,55.4,-0.152
VXX,Bollinger + RSI (Spike-Aware),bollinger_rsi,140,522.5311728226591,2.09,34.3,-0.228
QQQ,Bollinger + RSI (Spike-Aware),bollinger_rsi,14,276.006426338806,1.104,42.9,-0.274
USO,Bollinger + RSI (Spike-Aware),bollinger_rsi,24,212.36239868521605,0.849,66.7,-0.133
SPY,Bollinger + RSI (Spike-Aware),bollinger_rsi,12,208.64210907777596,0.835,50.0,-0.117
VXZ,Bollinger + RSI (Spike-Aware),bollinger_rsi,14,160.83401356548973,0.643,35.7,-0.34
SNPS,Earnings Event Hybrid (Research),earnings_event_hybrid,1,152.2086559999999,0.609,100.0,0.0
STX,Earnings Event Hybrid (Research),earnings_event_hybrid,1,109.08870954039604,0.436,100.0,0.0
MRVL,Earnings Event Hybrid (Research),earnings_event_hybrid,2,90.8294038100569,0.363,100.0,0.0
FTNT,Earnings Event Hybrid (Research),earnings_event_hybrid,1,84.97599506325214,0.34,100.0,0.0
MSTR,Earnings Event Hybrid (Research),earnings_event_hybrid,1,83.54815999999992,0.334,100.0,0.0
TSLA,Earnings Event Hybrid (Research),earnings_event_hybrid,1,71.72375923970428,0.287,100.0,0.0
RBLX,Earnings Event Hybrid (Research),earnings_event_hybrid,2,64.41817032569367,0.258,100.0,0.0
APLD,Earnings Event Hybrid (Research),earnings_event_hybrid,3,62.604973719999755,0.25,66.7,-0.188
DDOG,Earnings Event Hybrid (Research),earnings_event_hybrid,1,57.99072,0.232,100.0,0.0
XLF,Bollinger + RSI (Spike-Aware),bollinger_rsi,4,48.76140799999992,0.195,75.0,-0.123
ZS,Earnings Event Hybrid (Research),earnings_event_hybrid,1,42.78416000000011,0.171,100.0,0.0
CHTR,Earnings Event Hybrid (Research),earnings_event_hybrid,1,28.785662155295856,0.115,100.0,0.0
MNST,Earnings Event Hybrid (Research),earnings_event_hybrid,1,25.997159999999965,0.104,100.0,0.0
DASH,Earnings Event Hybrid (Research),earnings_event_hybrid,1,24.071355060034357,0.096,100.0,0.0
PYPL,Earnings Event Hybrid (Research),earnings_event_hybrid,2,19.71205011138389,0.079,100.0,0.0
IWM,Bollinger + RSI (Spike-Aware),bollinger_rsi,3,17.95425248781841,0.072,66.7,-0.007
AVGO,Earnings Event Hybrid (Research),earnings_event_hybrid,1,14.756367999999954,0.059,100.0,0.0
IDXX,Earnings Event Hybrid (Research),earnings_event_hybrid,2,11.466068880047528,0.046,50.0,-0.03
WBD,Earnings Event Hybrid (Research),earnings_event_hybrid,1,7.833093525179801,0.031,100.0,0.0
AXON,Earnings Event Hybrid (Research),earnings_event_hybrid,3,3.3959612339687197,0.014,66.7,-0.063
PDD,Earnings Event Hybrid (Research),earnings_event_hybrid,2,2.5279317923501132,0.01,50.0,-0.034
ARM,Earnings Event Hybrid (Research),earnings_event_hybrid,1,0.9848561817808701,0.004,100.0,0.0
QCOM,Earnings Event Hybrid (Research),earnings_event_hybrid,0,0.0,0.0,0.0,0.0
INTC,Earnings Event Hybrid (Research),earnings_event_hybrid,0,0.0,0.0,0.0,0.0
NXPI,Earnings Event Hybrid (Research),earnings_event_hybrid,0,0.0,0.0,0.0,0.0
TXN,Earnings Event Hybrid (Research),earnings_event_hybrid,0,0.0,0.0,0.0,0.0
CPRT,Earnings Event Hybrid (Research),earnings_event_hybrid,1,-2.2513788098695,-0.009,0.0,-0.009
ABNB,Earnings Event Hybrid (Research),earnings_event_hybrid,1,-2.5667844522968446,-0.01,0.0,-0.01
TEAM,Earnings Event Hybrid (Research),earnings_event_hybrid,3,-6.993974441398251,-0.028,33.3,-0.12
