date,CH,CN,DE,FR,IN,IT,JP,KZ,NL,PL,RU,TR,US
1999-12-01 00:00:00,,,32435.5202,,,,,,,,,,
2000-01-01 00:00:00,,,31612.2017000001,,,,,,,,,,
2000-02-01 00:00:00,,,31363.5918000001,,,,,,,,,,
2000-03-01 00:00:00,,,30768.3023999999,,,,,,,,,,
2000-04-01 00:00:00,,,29260.9680000001,,,,6664.0,,7692.0,909.369,,,
2000-05-01 00:00:00,,,29963.1024,,,,6596.0,,7877.0,,,,
2000-06-01 00:00:00,,,32245.7663999999,,,,6981.0,,8476.0,952.675,,,
2000-07-01 00:00:00,,,31189.5792,,,,6793.0,,8199.0,,,,
2000-08-01 00:00:00,,,30052.4064,26737.5932,,21835.57626486,6800.0,,7900.0,,,1033.0,
2000-09-01 00:00:00,21718.4169595023,,30567.061,26654.365,,21571.499801007,6718.0,,8036.0,904.787,,1025.0,
2000-10-01 00:00:00,21597.0,,29353.4457999999,25687.8423,,20850.21632511,6493.0,,7716.0,874.54,,988.0,11046.0
2000-11-01 00:00:00,21420.0,,30284.5816000001,26066.7628,,21212.828782938,6606.0,,7961.0,889.608,,1006.0,11046.0
2000-12-01 00:00:00,21235.0,,30405.018,26513.667,,21492.3403288463,6737.0,,7993.0,901.457,,1026.0,11046.0
2001-01-01 00:00:00,21134.0,,29686.4885,25689.5692,,20850.21632511,6493.0,,7983.0,874.407,,988.0,11046.0
2001-02-01 00:00:00,20998.0,,29552.9088000001,26081.2096,,21023.639674506,6547.0,,7944.0,881.757,,1002.0,11046.0
2001-03-01 00:00:00,19753.0,,28889.4720000001,25191.5136,,20314.180517886,6326.0,,7594.0,852.072,,972.0,11046.0
2001-04-01 00:00:00,19602.0,,29379.5600000001,25724.4232,,20743.797451617,6460.0,,7632.0,870.039,,988.0,11046.0
2001-05-01 00:00:00,19409.0,,29674.9119999999,25945.408,,21086.70271065,6581.0,,7291.0,884.343,,1017.0,11046.0
2001-06-01 00:00:00,20167.0,,30098.9119999999,26246.6645777673,,21276.0053422563,6657.0,,7895.0,894.72,,1010.0,11044.0
2001-07-01 00:00:00,19947.0,,29511.3540000001,25901.6675,,20960.576638362,6542.0,,8133.0,879.035,,995.0,11044.0
2001-08-01 00:00:00,19921.0,,30600.5412000001,26662.6012,,21520.26108414,6716.0,,8449.0,902.621,,1019.0,11044.0
2001-09-01 00:00:00,21256.0,,32322.8269000001,28284.1856,,23104.7188141053,7211.0,,8275.0,969.086,,1085.0,11044.0
2001-10-01 00:00:00,21115.0,,31222.9302,27214.6116,,21973.526656425,6858.0,,8194.0,921.812,,1046.0,11045.0
2001-11-01 00:00:00,20930.0,,30528.1482000001,26715.3552,,21717.33307209,6778.0,,8064.0,911.138,,1026.0,11045.0
2001-12-01 00:00:00,19653.0,,30849.9064999999,26995.1003,,21796.0879258601,6803.0,,7895.0,914.686,,1034.0,11045.0
2002-01-01 00:00:00,19411.0,,31283.2139999999,27348.1968,,22253.3960752483,6946.0,,7737.0,933.81,,1050.0,11045.0
2002-02-01 00:00:00,19171.0,,32955.9845000001,28852.8152,,23400.3263869089,7303.0,,7750.0,982.122,,1114.0,11045.0
2002-03-01 00:00:00,20770.0,,33591.7620000001,29465.31,,23758.7428313253,7415.0,,8618.0,997.136,,1128.0,11044.0
2002-04-01 00:00:00,20540.0,,34295.2576,30027.2672,,24295.011971783,7582.0,,8898.0,1019.679,,1158.0,11044.0
2002-05-01 00:00:00,20453.0,,36279.8162999999,31637.0061,,25745.6335710397,8035.0,,9195.0,1080.578,,1214.0,11044.0
2002-06-01 00:00:00,21164.0,,35346.4125,31026.24,,25107.1092152216,7836.0,,8981.0,1053.785,,1191.0,11044.0
2002-07-01 00:00:00,21089.0,,33845.2668000001,29380.3056000001,,24015.2276407613,7495.0,,8809.0,1007.931,,1138.0,11044.0
2002-08-01 00:00:00,20984.0,,34609.2101000001,30399.7028000001,,24657.4550265302,7696.0,,8854.0,1035.0,,1162.0,11044.0
2002-09-01 00:00:00,20627.0,,35717.85,31351.842,,25516.8809962976,7964.0,,9076.0,1070.921,,1195.0,11044.0
2002-10-01 00:00:00,20340.0,,35046.7919999998,30794.4215999999,,24980.8463279999,7796.0,,9029.0,1048.367,,1182.0,11042.0
2002-11-01 00:00:00,20153.0,,35257.7258999999,30987.1304999999,,25150.3271021789,7850.0,,9036.0,1055.59,,1185.0,11042.0
2002-12-01 00:00:00,21150.0,,37971.3296,33330.8321,,27018.569547945,8542.0,,9385.0,1133.957,,1299.0,11043.0
2003-01-01 00:00:00,20997.0,,41029.4144,35876.6720000001,,28969.58222865,9042.0,,9573.0,1215.814,,1364.0,11043.0
2003-02-01 00:00:00,20859.0,,38514.3822,34292.151,,27389.064885291,8548.0,582.916163482186,9543.0,1149.64,,1316.29,11043.0
2003-03-01 00:00:00,19938.0,,37151.95,32610.9140000003,,26395.8220660232,8238.0,567.968949076102,9084.0,1107.779,,1234.0,11043.0
2003-04-01 00:00:00,19704.0,,37224.2902,32285.4655000003,,26545.5967768652,8285.0,570.281700911753,9281.0,1114.124,,1239.0,11043.0
2003-05-01 00:00:00,19536.0,,40492.7144,35573.5802000001,,28488.7265780521,8891.0,622.734319430706,9857.0,1210.168,,1351.65,11043.0
2003-06-01 00:00:00,19767.0,,38206.1745,33564.5271000001,,27274.7631322801,8513.0,789.824441185608,9350.0,1144.832,,1285.96,11044.0
2003-07-01 00:00:00,19446.0,,39340.2362,34547.0632,,27964.515090105,8727.0,604.446718524763,9260.0,1173.602,,1337.94,11044.0
2003-08-01 00:00:00,19099.0,,41026.5142,36302.7721,,29608.095469608,9241.0,633.142819077904,8940.0,1242.774,,1382.65,11043.0
2003-09-01 00:00:00,21109.0,,42519.3132,37391.268,,30585.57252984,9546.0,659.902524448936,10343.0,1283.735,,1421.83,11043.0
2003-10-01 00:00:00,20858.0,,42530.709,37480.95,,30447.622138275,9503.0,663.141894032561,10255.0,1277.821,,1451.13,11043.0
2003-11-01 00:00:00,20725.0,,44023.977,38725.0278,,31401.450559953,9800.0,688.616846646545,10185.0,1317.471,,1477.64,11043.0
