date,open,high,low,close,volume
2023-04-01 00:00:00,30.97,34.87,30.86,32.45,428406936.0
2023-05-01 00:00:00,32.47,35.02,29.08,29.98,471110392.0
2023-06-01 00:00:00,29.98,31.2,27.78,29.09,394310546.0
2023-07-01 00:00:00,29.08,31.8,27.92,30.36,387312933.0
2023-08-01 00:00:00,30.14,30.14,26.34,28.22,380850466.0
2023-09-01 00:00:00,28.5,29.1,25.71,25.88,359165470.0
2023-10-01 00:00:00,25.89,29.13,24.74,26.96,517264866.0
2023-11-01 00:00:00,27.02,30.41,26.09,30.33,496379456.0
2023-12-01 00:00:00,30.3,31.75,27.69,30.43,497195684.0
2024-01-01 00:00:00,30.69,30.83,26.73,27.44,450663065.0
2024-02-01 00:00:00,27.5,28.67,25.2,25.86,470063835.0
2024-03-01 00:00:00,25.85,31.24,25.81,31.16,559673731.0
2024-04-01 00:00:00,31.43,35.09,31.12,32.47,683638909.0
2024-05-01 00:00:00,32.39,37.09,32.32,34.67,478038682.0
2024-06-01 00:00:00,34.5,35.48,32.23,33.27,382025304.0
2024-07-01 00:00:00,33.37,38.68,33.03,37.32,390128874.0
2024-08-01 00:00:00,37.12,39.23,33.24,37.93,370089106.0
2024-09-01 00:00:00,37.82,41.34,35.55,39.12,432758383.0
2024-10-01 00:00:00,39.3,43.68,37.47,39.62,444818074.0
2024-11-01 00:00:00,39.62,40.06,34.02,36.91,473943810.0
2024-12-01 00:00:00,36.4,38.5,33.19,33.56,345132205.0
2025-01-01 00:00:00,33.56,39.45,33.56,38.77,333216138.0
2025-02-01 00:00:00,38.77,42.7,37.87,39.52,358076040.0
2025-03-01 00:00:00,39.44,46.61,39.21,45.63,384704306.0
2025-04-01 00:00:00,45.64,52.88,39.67,48.13,595729047.0
2025-05-01 00:00:00,47.52,51.03,44.14,50.16,459403700.0
2025-06-01 00:00:00,50.94,54.35,49.97,51.82,422168427.0
2025-07-01 00:00:00,52.07,54.41,49.99,51.28,412998429.0
2025-08-01 00:00:00,51.04,62.79,50.83,62.76,348863201.0
2025-09-01 00:00:00,64.2,76.64,62.76,75.96,521170981.0
2025-10-01 00:00:00,76.49,85.31,66.88,71.59,762636868.0
2025-11-01 00:00:00,71.83,82.91,67.58,82.77,465252360.0
2025-12-01 00:00:00,83.22,91.67,78.18,85.78,460817046.0
2026-01-01 00:00:00,85.87,115.11,83.23,95.0843,616649177.0
2026-02-01 00:00:00,90.77,116.3933,87.4,116.1,490333778.0
2026-03-01 00:00:00,119.18,120.25,73.35,92.5,730064298.0
2026-04-01 00:00:00,93.37,97.705,89.91,94.3,64563700.0
