date,open,high,low,close,volume
2023-04-01 00:00:00,183.86,190.41,181.4,184.9,169773070.0
2023-05-01 00:00:00,184.08,195.0,179.94,182.64,180242490.0
2023-06-01 00:00:00,182.64,184.21,175.79,178.2,134064706.0
2023-07-01 00:00:00,177.55,184.36,176.66,182.35,99042329.0
2023-08-01 00:00:00,181.5,181.98,174.93,179.95,138990627.0
2023-09-01 00:00:00,180.44,181.24,171.265,171.4,121377758.0
2023-10-01 00:00:00,170.76,186.58,167.9305,184.1,221253973.0
2023-11-01 00:00:00,183.38,190.0,179.11,189.12,142185813.0
2023-12-01 00:00:00,189.21,193.6,182.91,191.2,151954307.0
2024-01-01 00:00:00,191.61,192.6,185.45,188.96,123510085.0
2024-02-01 00:00:00,188.85,191.36,183.78,189.3,117339978.0
2024-03-01 00:00:00,189.33,207.0,188.92,206.5,160228123.0
2024-04-01 00:00:00,209.5,225.09,206.29,212.06,251715384.0
2024-05-01 00:00:00,211.51,226.7,210.71,215.11,140263538.0
2024-06-01 00:00:00,215.12,220.0,211.54,215.03,107949841.0
2024-07-01 00:00:00,214.91,229.65,214.46,226.07,136184497.0
2024-08-01 00:00:00,225.66,234.01,218.56,231.18,141872824.0
2024-09-01 00:00:00,231.14,248.01,228.52,243.33,129476047.0
2024-10-01 00:00:00,244.41,257.71,240.63,253.68,145068127.0
2024-11-01 00:00:00,253.89,255.09,234.24,244.96,149679056.0
2024-12-01 00:00:00,242.0,251.31,238.5,242.13,109266227.0
2025-01-01 00:00:00,242.48,259.99,241.32,258.5525,139725670.0
2025-02-01 00:00:00,258.656,272.7499,256.88,263.5,177083581.0
2025-03-01 00:00:00,263.55,288.39,263.55,287.79,178061152.0
2025-04-01 00:00:00,288.37,322.42,272.58,301.69,352384242.0
2025-05-01 00:00:00,297.69,318.32,287.91,303.5124,234716564.0
2025-06-01 00:00:00,307.12,317.6,299.89,305.05,198949356.0
2025-07-01 00:00:00,307.59,316.33,300.955,302.89,201645201.0
2025-08-01 00:00:00,302.73,318.18,302.52,318.07,174329547.0
2025-09-01 00:00:00,320.52,356.27,319.53,355.47,301180699.0
2025-10-01 00:00:00,356.99,403.3,351.4,368.01,551357061.0
2025-11-01 00:00:00,368.82,390.4,361.39,389.01,208137380.0
2025-12-01 00:00:00,389.17,418.45,382.9103,396.5,230897165.0
2026-01-01 00:00:00,396.49,514.43,396.2007,449.27,523642679.0
2026-02-01 00:00:00,435.5,486.1697,404.91,486.1697,307045648.0
2026-03-01 00:00:00,495.0,497.96,376.5,431.17,347791960.0
2026-04-01 00:00:00,432.25,440.75,418.43,429.79,25047520.0
