date,open,high,low,close,volume
2023-04-01 00:00:00,89.32,90.82,88.12,89.7,150680829.0
2023-05-01 00:00:00,89.7,91.96,86.9,88.42,197631175.0
2023-06-01 00:00:00,88.29,88.91,86.88,87.13,140951231.0
2023-07-01 00:00:00,87.02,88.88,85.41,86.55,130691563.0
2023-08-01 00:00:00,86.58,86.95,84.2,86.02,168091697.0
2023-09-01 00:00:00,86.09,86.36,82.72,83.39,159517996.0
2023-10-01 00:00:00,83.09,83.76,81.07,81.7,295154676.0
2023-11-01 00:00:00,81.84,86.02,81.84,85.5,265751136.0
2023-12-01 00:00:00,85.67,89.52,85.46,88.6,247032515.0
2024-01-01 00:00:00,88.51,89.28,86.81,88.93,202038933.0
2024-02-01 00:00:00,88.99,89.61,86.15,86.88,196429204.0
2024-03-01 00:00:00,86.85,88.4,86.46,87.55,147530699.0
2024-04-01 00:00:00,87.69,87.72,84.29,84.77,182726151.0
2024-05-01 00:00:00,85.1,87.58,84.79,86.32,139766201.0
2024-06-01 00:00:00,86.5,88.45,86.48,87.26,109637207.0
2024-07-01 00:00:00,87.34,90.07,86.69,89.99,129333966.0
2024-08-01 00:00:00,89.96,92.67,89.83,91.29,151315035.0
2024-09-01 00:00:00,91.43,93.81,91.27,92.44,198290202.0
2024-10-01 00:00:00,92.62,93.02,89.0,89.37,158401539.0
2024-11-01 00:00:00,89.53,90.22,88.03,90.22,167057638.0
2024-12-01 00:00:00,90.18,90.7,87.65,88.21,115520503.0
2025-01-01 00:00:00,88.21,89.07,86.86,88.8,101066302.0
2025-02-01 00:00:00,88.81,91.23,88.1,91.15,115860951.0
2025-03-01 00:00:00,91.14,91.9,89.99,91.56,168452360.0
2025-04-01 00:00:00,91.78,94.04,89.31,92.3,340875335.0
2025-05-01 00:00:00,92.47,92.65,89.77,91.23,195559887.0
2025-06-01 00:00:00,91.03,92.83,90.57,92.77,158465187.0
2025-07-01 00:00:00,93.02,93.05,91.2,92.09,143283644.0
2025-08-01 00:00:00,92.19,93.87,92.01,93.81,152869251.0
2025-09-01 00:00:00,93.46,95.4,93.26,94.37,181961576.0
2025-10-01 00:00:00,94.39,95.97,94.27,95.15,182231352.0
2025-11-01 00:00:00,95.44,96.21,94.63,95.97,194401697.0
2025-12-01 00:00:00,95.8,96.15,94.76,95.33,159880359.0
2026-01-01 00:00:00,95.34,95.89,94.57,95.16,186959598.0
2026-02-01 00:00:00,95.03,97.49,94.72,97.49,173082041.0
2026-03-01 00:00:00,97.34,97.66,93.95,95.21,317222370.0
2026-04-01 00:00:00,95.38,95.73,94.59,95.25,26712803.0
