date,open,high,low,close,volume
2023-04-01 00:00:00,101.28,102.09,100.17,101.1,66870806.0
2023-05-01 00:00:00,100.99,101.9,99.08,99.89,75288265.0
2023-06-01 00:00:00,100.0,100.34,98.98,99.55,66632290.0
2023-07-01 00:00:00,99.6,100.26,98.14,99.6,65085661.0
2023-08-01 00:00:00,99.37,99.57,97.39,98.76,67445084.0
2023-09-01 00:00:00,98.75,98.75,96.31,96.9,45040378.0
2023-10-01 00:00:00,96.89,97.18,95.2,96.2,69080626.0
2023-11-01 00:00:00,96.34,99.11,96.3,98.86,56903262.0
2023-12-01 00:00:00,98.87,101.81,98.73,101.04,62043791.0
2024-01-01 00:00:00,101.03,101.62,100.3,101.61,48218693.0
2024-02-01 00:00:00,101.61,102.26,99.56,100.54,41520295.0
2024-03-01 00:00:00,100.39,101.58,99.88,101.19,37802456.0
2024-04-01 00:00:00,100.89,100.95,99.22,99.48,50335937.0
2024-05-01 00:00:00,99.65,101.54,99.32,101.47,40462348.0
2024-06-01 00:00:00,101.3,102.67,100.02,102.06,31713707.0
2024-07-01 00:00:00,102.02,103.8,101.44,103.78,36356684.0
2024-08-01 00:00:00,103.96,105.32,103.44,104.74,28155395.0
2024-09-01 00:00:00,104.61,106.75,104.61,106.18,38457426.0
2024-10-01 00:00:00,106.51,106.83,103.64,104.22,40675959.0
2024-11-01 00:00:00,104.0,104.76,101.17,104.71,47476535.0
2024-12-01 00:00:00,104.24,105.25,102.44,103.06,50354144.0
2025-01-01 00:00:00,103.36,104.59,101.98,104.48,51135010.0
2025-02-01 00:00:00,104.55,106.76,104.14,106.56,35809788.0
2025-03-01 00:00:00,106.56,107.63,105.31,106.27,43410027.0
2025-04-01 00:00:00,107.6,109.34,103.52,106.69,60354436.0
2025-05-01 00:00:00,107.47,107.7,105.05,106.76,41209978.0
2025-06-01 00:00:00,106.08,108.51,105.85,108.51,48782691.0
2025-07-01 00:00:00,108.0,108.46,106.27,107.82,57577987.0
2025-08-01 00:00:00,107.8,109.71,107.5,109.54,53956874.0
2025-09-01 00:00:00,109.43,111.2,109.15,109.88,75947413.0
2025-10-01 00:00:00,109.95,111.42,109.72,110.37,63301280.0
2025-11-01 00:00:00,110.33,111.32,109.34,110.6,54028350.0
2025-12-01 00:00:00,110.26,111.64,108.56,109.91,55693264.0
2026-01-01 00:00:00,110.0,111.49,109.2453,111.139,55080242.0
2026-02-01 00:00:00,110.5,111.98,109.864,111.88,46404972.0
2026-03-01 00:00:00,111.85,112.47,109.55,110.36,73905728.0
2026-04-01 00:00:00,110.38,110.83,110.275,110.76,5173927.0
