date,open,high,low,close,volume
2023-04-01 00:00:00,93.87,96.41,91.54,94.07,378092959.0
2023-05-01 00:00:00,94.12,94.65,88.78,91.27,520417030.0
2023-06-01 00:00:00,91.1,92.82,89.32,91.38,477091482.0
2023-07-01 00:00:00,91.49,92.17,87.84,89.22,534926773.0
2023-08-01 00:00:00,89.12,89.41,82.56,86.52,664312202.0
2023-09-01 00:00:00,86.79,86.81,78.21,79.64,636228427.0
2023-10-01 00:00:00,79.34,80.21,73.79,75.2,1161216763.0
2023-11-01 00:00:00,75.37,83.81,75.19,82.95,1043284487.0
2023-12-01 00:00:00,82.95,91.47,82.62,89.87,971483831.0
2024-01-01 00:00:00,89.73,89.9,84.67,88.25,1052282366.0
2024-02-01 00:00:00,88.24,90.02,83.92,85.69,844265302.0
2024-03-01 00:00:00,85.7,88.64,84.46,86.47,697334057.0
2024-04-01 00:00:00,86.59,86.68,80.2,80.95,987939383.0
2024-05-01 00:00:00,81.16,85.52,80.9,83.39,795320738.0
2024-06-01 00:00:00,83.27,87.69,83.27,84.83,648489442.0
2024-07-01 00:00:00,84.8,88.48,83.31,88.08,761821865.0
2024-08-01 00:00:00,88.11,93.05,88.02,90.17,869729389.0
2024-09-01 00:00:00,90.43,95.08,90.02,91.73,747055139.0
2024-10-01 00:00:00,92.02,93.03,85.21,86.58,896690220.0
2024-11-01 00:00:00,87.08,88.42,83.83,88.36,947577277.0
2024-12-01 00:00:00,88.25,89.45,82.35,82.77,780046823.0
2025-01-01 00:00:00,82.77,84.2,80.32,83.25,673443037.0
2025-02-01 00:00:00,83.29,87.86,82.53,87.64,703544344.0
2025-03-01 00:00:00,87.64,88.59,84.3,86.78,730454464.0
2025-04-01 00:00:00,87.11,90.18,80.82,85.26,1107995737.0
2025-05-01 00:00:00,85.63,86.05,79.72,82.57,840019758.0
2025-06-01 00:00:00,82.15,85.22,81.7,85.1,783452711.0
2025-07-01 00:00:00,85.6,86.83,81.43,83.89,783208967.0
2025-08-01 00:00:00,83.88,85.87,83.43,83.97,711283138.0
2025-09-01 00:00:00,83.62,88.72,83.08,86.97,821438044.0
2025-10-01 00:00:00,87.02,90.32,86.55,88.39,730604372.0
2025-11-01 00:00:00,88.43,88.96,86.93,88.54,610772434.0
2025-12-01 00:00:00,87.66,88.26,85.85,86.28,703694094.0
2026-01-01 00:00:00,86.26,87.69,85.35,86.41,820366213.0
2026-02-01 00:00:00,86.61,90.36,85.71,90.11,695475194.0
2026-03-01 00:00:00,90.03,90.13,85.01,86.4,1060686406.0
2026-04-01 00:00:00,86.82,87.0,85.7,86.8,63114699.0
