date,open,high,low,close,volume
2023-04-01 00:00:00,182.4,184.6,151.6,152.6,6452499.0
2023-05-01 00:00:00,152.6,173.6,136.9,137.6,9431369.0
2023-06-01 00:00:00,137.2,137.59,98.9,99.88,9471131.0
2023-07-01 00:00:00,99.04,115.84,88.88,90.8,15770517.0
2023-08-01 00:00:00,91.56,109.44,85.56,86.12,31384715.0
2023-09-01 00:00:00,84.88,101.72,78.96,92.8,19300293.0
2023-10-01 00:00:00,90.28,111.12,85.64,94.24,29308475.0
2023-11-01 00:00:00,94.24,94.8,68.36,69.0,15072138.0
2023-12-01 00:00:00,68.92,71.12,61.4,61.96,14347494.0
2024-01-01 00:00:00,61.6,65.32,55.44,60.28,19555577.0
2024-02-01 00:00:00,60.2,64.96,53.72,54.12,19042885.0
2024-03-01 00:00:00,53.72,59.52,50.64,51.6,22696091.0
2024-04-01 00:00:00,51.32,64.8,51.2,54.6,38130449.0
2024-05-01 00:00:00,55.16,55.48,44.14,46.16,20407407.0
2024-06-01 00:00:00,45.72,47.24,42.52,43.16,15994721.0
2024-07-01 00:00:00,43.16,50.96,39.56,45.2,30002898.0
2024-08-01 00:00:00,46.76,93.44,43.54,44.04,49714696.0
2024-09-01 00:00:00,44.8,57.84,44.0,49.07,27655967.0
2024-10-01 00:00:00,49.04,57.52,48.84,56.76,25638482.0
2024-11-01 00:00:00,56.64,56.64,41.79,42.0,21354658.0
2024-12-01 00:00:00,41.92,58.42,40.67,45.02,27041086.0
2025-01-01 00:00:00,44.44,50.9816,40.75,43.3999,42501483.0
2025-02-01 00:00:00,43.39,47.43,40.22,44.698,39508665.0
2025-03-01 00:00:00,44.9,59.07,43.87,51.02,29922064.0
2025-04-01 00:00:00,50.74,90.33,47.21,62.17,35581808.0
2025-05-01 00:00:00,61.67,64.1,49.13,53.0,19366698.0
2025-06-01 00:00:00,54.0,55.29,46.4,46.9319,26277407.0
2025-07-01 00:00:00,47.36,47.78,39.44,41.85,29058981.0
2025-08-01 00:00:00,42.9,45.77,34.34,35.3,38486269.0
2025-09-01 00:00:00,36.0,37.9199,31.53,32.4499,44576044.0
2025-10-01 00:00:00,32.92,42.15,30.77,32.81,78548917.0
2025-11-01 00:00:00,32.65,39.33,31.05,31.13,77654867.0
2025-12-01 00:00:00,31.67,32.0,25.27,25.64,52591553.0
2026-01-01 00:00:00,25.6125,28.9519,24.7154,26.81,63330546.0
2026-02-01 00:00:00,27.14,29.66,25.205,28.05,82585085.0
2026-03-01 00:00:00,29.5,38.59,27.76,33.84,151312300.0
2026-04-01 00:00:00,34.04,36.15,33.09,33.8,7272120.0
